epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,629.742,0.89506,0.47227,0.02157,0.98783,0.97277,0.99344,0.8079,0.77318,0.23833,0.02186,0.000742625,0.000742625,0.000742625
43,642.803,0.90642,0.49147,0.02153,0.97099,0.96978,0.99305,0.81401,0.73779,0.24655,0.0204,0.00073025,0.00073025,0.00073025
44,656.055,0.90553,0.48018,0.02171,0.92599,0.96809,0.99001,0.80103,0.76412,0.31004,0.02161,0.000717875,0.000717875,0.000717875
45,669.321,0.87892,0.45877,0.02059,0.97157,0.98615,0.99376,0.81378,0.72219,0.22691,0.01985,0.0007055,0.0007055,0.0007055
46,682.665,0.89263,0.47854,0.0215,0.96336,0.97536,0.99401,0.74069,0.95023,0.2786,0.02826,0.000693125,0.000693125,0.000693125
47,695.892,0.87538,0.46307,0.02099,0.95031,0.95425,0.99002,0.81443,0.71723,0.28309,0.02008,0.00068075,0.00068075,0.00068075
48,709.538,0.87416,0.45766,0.02082,0.97365,0.98074,0.99333,0.79822,0.81102,0.24996,0.02296,0.000668375,0.000668375,0.000668375
49,722.899,0.88732,0.47586,0.02104,0.96909,0.99402,0.99422,0.7763,0.89068,0.25405,0.02553,0.000656,0.000656,0.000656
50,736.255,0.8749,0.45989,0.02056,0.97868,0.98714,0.99396,0.83808,0.7047,0.22158,0.01915,0.000643625,0.000643625,0.000643625
51,749.731,0.86473,0.43212,0.02049,0.98868,0.98552,0.99405,0.80897,0.7814,0.24597,0.02213,0.00063125,0.00063125,0.00063125
52,763.816,0.85986,0.45519,0.02076,0.98494,0.97955,0.99445,0.80412,0.86917,0.26264,0.02523,0.000618875,0.000618875,0.000618875
53,777.151,0.87104,0.46679,0.02062,0.97944,0.995,0.99429,0.79227,0.79073,0.2408,0.02274,0.0006065,0.0006065,0.0006065
54,790.449,0.87062,0.44059,0.02095,0.97993,0.9873,0.99453,0.80806,0.79547,0.23194,0.02232,0.000594125,0.000594125,0.000594125
55,804.003,0.87025,0.4841,0.02081,0.98829,0.99155,0.99468,0.8315,0.72518,0.22108,0.01973,0.00058175,0.00058175,0.00058175
56,817.727,0.84418,0.41314,0.01952,0.98205,0.9867,0.99371,0.83042,0.69584,0.22191,0.0194,0.000569375,0.000569375,0.000569375
57,831.079,0.82879,0.4128,0.01956,0.9854,0.98977,0.99444,0.84566,0.66813,0.21363,0.01828,0.000557,0.000557,0.000557
58,844.547,0.82398,0.41595,0.01942,0.98007,0.98656,0.99448,0.81222,0.78166,0.23968,0.02184,0.000544625,0.000544625,0.000544625
59,857.768,0.81971,0.40872,0.01934,0.99247,0.99554,0.99487,0.8344,0.709,0.20813,0.01927,0.00053225,0.00053225,0.00053225
60,871.073,0.82396,0.4091,0.01915,0.99295,0.9927,0.99492,0.83403,0.69669,0.20408,0.01895,0.000519875,0.000519875,0.000519875
61,884.486,0.81682,0.40481,0.01904,0.97706,0.9834,0.99404,0.83995,0.67496,0.21551,0.01855,0.0005075,0.0005075,0.0005075
62,897.804,0.80251,0.38762,0.01887,0.9881,0.98675,0.99448,0.82544,0.72184,0.21552,0.01984,0.000495125,0.000495125,0.000495125
63,911.333,0.82058,0.4081,0.01948,0.98826,0.99183,0.99474,0.81659,0.72711,0.20397,0.02004,0.00048275,0.00048275,0.00048275
64,924.764,0.80983,0.40267,0.01908,0.98226,0.97983,0.99427,0.8288,0.74095,0.23403,0.02055,0.000470375,0.000470375,0.000470375
65,937.922,0.80374,0.40403,0.01903,0.99072,0.99525,0.99466,0.84583,0.65888,0.19639,0.01776,0.000458,0.000458,0.000458
66,951.412,0.78683,0.38944,0.01839,0.98797,0.99356,0.99466,0.83682,0.69671,0.19835,0.01896,0.000445625,0.000445625,0.000445625
67,965.221,0.78688,0.389,0.01805,0.98235,0.98964,0.99484,0.84937,0.63559,0.1906,0.0172,0.00043325,0.00043325,0.00043325
68,978.808,0.79665,0.38178,0.01873,0.9706,0.99468,0.99387,0.84654,0.64084,0.20238,0.01738,0.000420875,0.000420875,0.000420875
