,run_name,AUC_mean,AUC_std,acc_global_mean,acc_global_std,acc_coleoptera_mean,acc_coleoptera_std,acc_diptera_mean,acc_diptera_std,acc_hymenoptera_mean,acc_hymenoptera_std,acc_lepidoptera_mean,acc_lepidoptera_std
0,base_conf,0.9046483284181025,0.02247891807256194,0.8967916666666667,0.018753286748964537,0.9669421990575383,0.017395376616220225,0.9187098396087531,0.03366311217442164,0.946369358103223,0.03136418461883861,0.7299137651340593,0.061811733294511055
1,base_meas,0.8994277692535235,0.0256835644469614,0.9038333333333335,0.014786442739512724,0.9749200303745256,0.01678720650478798,0.928676185541873,0.028275849488702334,0.9554051660008546,0.025741988909736307,0.7260479054583675,0.04904486475481782
2,base_pos,0.8791725163396262,0.030616790478900688,0.8865416666666667,0.0206899650260163,0.9626230055244241,0.016904909756151547,0.9189725337152365,0.029210621795729932,0.9433140299998888,0.028883171401393383,0.6891153267797716,0.058047380816306754
3,related_conf,0.9094111732813116,0.022133164254180066,0.9059583333333333,0.017699801866436552,0.9688537111157077,0.017325256852128025,0.9263951931877246,0.02911519307350384,0.946834153553093,0.02696083566817219,0.7581759596721614,0.05417151311863927
4,related_meas,0.8873287412822981,0.026613671799420844,0.8951250000000001,0.019852363069530147,0.9831225803657003,0.015236094161693484,0.9152106837634587,0.03132070758342309,0.9484487757359535,0.028941264651339026,0.7019933619340472,0.057478858681371224
5,related_pos,0.8724834859846077,0.02663624628047985,0.882125,0.01812662827935129,0.955600057196229,0.019421738855961566,0.9181495537283908,0.035280326793274835,0.9459218746123699,0.027918037689901875,0.6835277732715532,0.05448456158421164
6,pca_conf,0.8615657026797652,0.03569328025265646,0.8871666666666665,0.018339771596784467,0.9631766227525229,0.01887406065727581,0.9102246559659453,0.03291225798226087,0.9424355601305292,0.028056959907386093,0.7070127041776034,0.056843154418488875
7,pca_meas,0.8645015659272556,0.03306544844915789,0.8882083333333335,0.01858777039704691,0.9631545134580728,0.01853430799593573,0.9098655602680165,0.02963902384006294,0.9418237156482039,0.030438496618168588,0.712032390381834,0.058562994680646234
8,pca_pos,0.8603777437116534,0.027430444361654333,0.8882083333333334,0.016604624104949405,0.9624937559799354,0.01879035720568378,0.9112032137197735,0.03132765872675621,0.9438928110020679,0.027043181706164085,0.7046272147006216,0.05008252728381911
9,base_conf_meas_pos,0.9263720788221567,0.019985964123029016,0.9074583333333334,0.016773563442380263,0.980170030590382,0.015818579517007193,0.929401207891848,0.02752346384247493,0.9540730820594028,0.028735836218278528,0.7371344380326026,0.05709341945704183
10,related_conf_meas_pos,0.9147803623827528,0.022203814035897183,0.9038333333333334,0.015719768163402124,0.9772739089168028,0.016159864843789385,0.9179459239547201,0.0270763820599114,0.9439732343979785,0.03271718955459622,0.7457249682666189,0.05552460963102758
11,pca_conf_meas_pos,0.9048633686027994,0.026346299419140472,0.9005000000000003,0.01637537107297962,0.96938607637379,0.018714227387950047,0.9185745229266289,0.03368364392025116,0.9390085071821218,0.03132237624459165,0.7460984481395521,0.04199972347489411
12,pca_related_conf_meas_pos,0.9136695705707534,0.022228238447005864,0.9145,0.01749484050925999,0.9766819879135125,0.01375175283830092,0.9339197458862821,0.030098960650515913,0.9515972843822098,0.02533409529200027,0.7720281735594972,0.06139481989529117
13,one_hot_conf,0.9119174046857808,0.025310246876107532,0.9023749999999999,0.016225997230096864,0.9709848708507759,0.01590334905953331,0.9208035556954418,0.032257902637974276,0.9455007062818777,0.02727256139834699,0.7430492975733693,0.050288245291994924
14,one_hot_meas,0.9004114641732299,0.029217629085564054,0.9059999999999999,0.017895530168173284,0.9848392179793263,0.015628022732034508,0.9227358153360719,0.03476898441782882,0.9592581617429821,0.031093624239753155,0.7308572558763892,0.049076664985818065
15,one_hot_pos,0.8817421489513447,0.031154073394458196,0.8857083333333334,0.01789489956818858,0.9628047187123182,0.018160339209850235,0.916327012474303,0.03237123459933165,0.942079548952624,0.028628150291955257,0.6923580891868035,0.056376794624305844
16,base_one_hot_conf_meas_pos,0.9253077074245722,0.01882940107305331,0.9059166666666666,0.016689359550990032,0.9786108284440287,0.015145949219364229,0.9259442917521811,0.03311306313887439,0.9489064140633862,0.03135187823587656,0.74217820828498,0.054779646190936046
17,related_one_hot_conf_meas_pos,0.9182858425581567,0.021522971660726333,0.9059583333333333,0.01957229298722502,0.9782373090827146,0.015639105917418693,0.9227715875372859,0.03170730171085815,0.9491423511067464,0.03036777448894088,0.748103696694346,0.056129494131278566
18,pca_one_hot_conf_meas_pos,0.9021613047172528,0.024811153501028006,0.8947916666666668,0.01995981205378002,0.964678701134735,0.02094346703515927,0.9258465292327525,0.03387353604772951,0.9415046610105711,0.027196826115507323,0.7199021953447163,0.0533625501894232
19,pca_related_one_hot_conf_meas_pos,0.9121093437789117,0.025569132446335713,0.9132916666666665,0.01787975849638045,0.9752205885106673,0.015985331923245052,0.9317870259149704,0.02879303464236087,0.950173969115079,0.03059266702766499,0.7688696978390568,0.0577471091061324
