epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
83,698.442,0.001,1,1,0,0.00023525,0.00023525,0.00023525
84,706.93,0.00194,1,1,0,0.000222875,0.000222875,0.000222875
85,715.442,0.00098,1,1,3e-05,0.0002105,0.0002105,0.0002105
86,724.123,0.0036,1,1,2e-05,0.000198125,0.000198125,0.000198125
87,732.644,0.00202,1,1,0,0.00018575,0.00018575,0.00018575
88,741.095,0.0018,1,1,0,0.000173375,0.000173375,0.000173375
89,749.633,0.00096,1,1,0,0.000161,0.000161,0.000161
90,758.221,0.00028,1,1,1e-05,0.000148625,0.000148625,0.000148625
91,768.441,0.00025,1,1,1e-05,0.00013625,0.00013625,0.00013625
92,777.166,0.00036,1,1,0,0.000123875,0.000123875,0.000123875
93,785.787,0.00082,1,1,0,0.0001115,0.0001115,0.0001115
94,794.329,0.00085,1,1,1e-05,9.9125e-05,9.9125e-05,9.9125e-05
95,802.927,0.0045,1,1,0,8.675e-05,8.675e-05,8.675e-05
96,811.509,0.00741,1,1,0,7.4375e-05,7.4375e-05,7.4375e-05
97,820.055,0.00064,1,1,0,6.2e-05,6.2e-05,6.2e-05
98,828.691,0.00033,1,1,0,4.9625e-05,4.9625e-05,4.9625e-05
99,837.205,0.00224,1,1,0,3.725e-05,3.725e-05,3.725e-05
100,845.843,0.00056,1,1,0,2.4875e-05,2.4875e-05,2.4875e-05
