epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
82,957.807,0.00155,1,1,0,0.000220089,0.000220089,0.000220089
83,969.766,0.00119,1,1,0,0.00020909,0.00020909,0.00020909
84,981.636,0.00167,1,1,0,0.000198091,0.000198091,0.000198091
85,993.757,0.00605,1,1,3e-05,0.000187092,0.000187092,0.000187092
86,1005.68,0.00151,1,1,1e-05,0.000176094,0.000176094,0.000176094
87,1017.4,0.00103,1,1,1e-05,0.000165095,0.000165095,0.000165095
88,1029.48,0.00181,1,1,0,0.000154096,0.000154096,0.000154096
89,1041.63,0.00334,1,1,0,0.000143097,0.000143097,0.000143097
90,1053.94,0.00728,1,1,1e-05,0.000132098,0.000132098,0.000132098
91,1068.02,0.0028,1,1,1e-05,0.000121099,0.000121099,0.000121099
92,1080.04,0.00479,1,1,3e-05,0.0001101,0.0001101,0.0001101
93,1091.98,0.00214,1,1,0.00026,9.91012e-05,9.91012e-05,9.91012e-05
94,1104.13,0.00157,1,1,0,8.81023e-05,8.81023e-05,8.81023e-05
95,1116.19,0.00178,1,1,1e-05,7.71034e-05,7.71034e-05,7.71034e-05
96,1128.35,0.0008,1,1,0,6.61045e-05,6.61045e-05,6.61045e-05
97,1140.11,0.00111,1,1,0,5.51056e-05,5.51056e-05,5.51056e-05
98,1152.25,0.00097,1,1,0,4.41067e-05,4.41067e-05,4.41067e-05
99,1164.18,0.00298,1,1,0,3.31078e-05,3.31078e-05,3.31078e-05
100,1176.06,0.00393,1,1,0,2.21089e-05,2.21089e-05,2.21089e-05
