epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,515.183,0.78327,0.31006,0.0149,0.98426,0.98276,0.99444,0.8095,0.71104,0.21405,0.02,0.0011684,0.0011684,0.0011684
44,526.881,0.77437,0.30828,0.01486,0.97737,0.98276,0.99387,0.84021,0.65517,0.22521,0.01821,0.0011486,0.0011486,0.0011486
45,538.842,0.78101,0.32477,0.01494,0.99125,0.97668,0.99426,0.83982,0.63347,0.20257,0.01737,0.0011288,0.0011288,0.0011288
46,550.538,0.77631,0.30772,0.01474,0.97462,0.99313,0.99436,0.85078,0.60188,0.19277,0.01642,0.001109,0.001109,0.001109
47,562.64,0.77914,0.29502,0.01485,0.98718,0.99549,0.99393,0.82325,0.66943,0.20766,0.01886,0.0010892,0.0010892,0.0010892
48,574.82,0.78357,0.30623,0.01501,0.97432,0.98129,0.99378,0.8392,0.65777,0.21525,0.01911,0.0010694,0.0010694,0.0010694
49,585.985,0.76824,0.30758,0.01474,0.98234,0.99569,0.99474,0.85689,0.56598,0.17396,0.01493,0.0010496,0.0010496,0.0010496
50,598.148,0.74463,0.29684,0.01387,0.98661,0.99569,0.99479,0.86066,0.60172,0.1795,0.01667,0.0010298,0.0010298,0.0010298
51,609.234,0.72063,0.28488,0.01329,1,0.98973,0.995,0.86094,0.57962,0.16994,0.01537,0.00101,0.00101,0.00101
52,621.339,0.74085,0.29306,0.01409,0.99002,0.99569,0.99491,0.85891,0.61802,0.18795,0.01649,0.0009902,0.0009902,0.0009902
53,633.898,0.72024,0.28697,0.01369,0.98581,0.98276,0.99422,0.86741,0.59204,0.19324,0.01594,0.0009704,0.0009704,0.0009704
54,646.041,0.73792,0.29551,0.01378,0.99582,0.98707,0.99496,0.85735,0.59965,0.17577,0.01626,0.0009506,0.0009506,0.0009506
55,657.802,0.72914,0.2939,0.0138,0.96956,1,0.99448,0.86629,0.56062,0.17653,0.01495,0.0009308,0.0009308,0.0009308
56,669.91,0.71839,0.28631,0.01379,0.98552,1,0.99487,0.85039,0.61821,0.17927,0.01666,0.000911,0.000911,0.000911
57,681.441,0.70413,0.27716,0.01307,0.99499,1,0.99496,0.86193,0.56973,0.16776,0.01548,0.0008912,0.0008912,0.0008912
58,693.263,0.70397,0.28362,0.01338,0.99433,0.99138,0.99491,0.86303,0.58444,0.17597,0.01566,0.0008714,0.0008714,0.0008714
59,705.567,0.70356,0.27473,0.01322,0.98166,0.99138,0.99461,0.87395,0.54139,0.17272,0.01451,0.0008516,0.0008516,0.0008516
60,717.797,0.71183,0.26615,0.01351,1,0.99345,0.995,0.85593,0.58735,0.1688,0.01584,0.0008318,0.0008318,0.0008318
61,729.19,0.67521,0.26227,0.01254,0.98717,0.99503,0.99474,0.89058,0.51638,0.17316,0.01359,0.000812,0.000812,0.000812
62,741.219,0.68348,0.26766,0.01275,0.98503,0.99138,0.99478,0.88511,0.51295,0.17305,0.01381,0.0007922,0.0007922,0.0007922
63,753.823,0.68015,0.27153,0.01252,0.98709,0.98276,0.99436,0.85681,0.59161,0.19882,0.01621,0.0007724,0.0007724,0.0007724
64,766.081,0.67685,0.27278,0.01251,0.99135,0.98842,0.99487,0.87433,0.53851,0.16476,0.0141,0.0007526,0.0007526,0.0007526
65,778.672,0.69411,0.27245,0.01299,0.99029,0.96983,0.99386,0.86605,0.57449,0.19857,0.01586,0.0007328,0.0007328,0.0007328
66,790.857,0.66079,0.2547,0.01234,0.99564,0.98321,0.99466,0.8764,0.54428,0.16916,0.01458,0.000713,0.000713,0.000713
67,803.18,0.6649,0.25889,0.01246,0.98709,0.98839,0.9947,0.87904,0.54743,0.17056,0.01478,0.0006932,0.0006932,0.0006932
68,815.827,0.66263,0.25559,0.01207,1,0.99136,0.995,0.86957,0.54097,0.15637,0.01426,0.0006734,0.0006734,0.0006734
69,827.389,0.65556,0.25113,0.01207,0.9957,0.99914,0.99496,0.8679,0.55195,0.15845,0.01476,0.0006536,0.0006536,0.0006536
70,839.635,0.64329,0.25021,0.01188,0.99141,0.99474,0.99496,0.87975,0.53291,0.16641,0.01411,0.0006338,0.0006338,0.0006338
71,851.58,0.64149,0.24795,0.01198,0.9903,0.99138,0.99478,0.87701,0.51271,0.16242,0.01356,0.000614,0.000614,0.000614
72,864.017,0.65805,0.25348,0.01192,0.98814,0.99569,0.99478,0.87655,0.53444,0.1637,0.01439,0.0005942,0.0005942,0.0005942
73,875.796,0.63508,0.24364,0.01191,0.98277,0.99569,0.99461,0.88178,0.53378,0.17301,0.01404,0.0005744,0.0005744,0.0005744
74,888.421,0.64483,0.24683,0.01162,0.99047,0.99138,0.99487,0.8851,0.5154,0.16178,0.01337,0.0005546,0.0005546,0.0005546
75,900.748,0.6226,0.24623,0.01139,0.98722,0.99927,0.99487,0.87345,0.56267,0.16848,0.01533,0.0005348,0.0005348,0.0005348
76,912.643,0.63237,0.24818,0.01183,0.99565,0.9857,0.99483,0.88903,0.50515,0.15672,0.01319,0.000515,0.000515,0.000515
77,925.307,0.6101,0.23812,0.01137,0.97205,0.99138,0.9937,0.87488,0.52477,0.18705,0.01408,0.0004952,0.0004952,0.0004952
78,937.924,0.6081,0.24439,0.01116,0.9829,0.99107,0.99452,0.88303,0.50619,0.16524,0.01334,0.0004754,0.0004754,0.0004754
79,949.901,0.61985,0.24878,0.01116,0.99564,0.98435,0.99487,0.87628,0.52659,0.16811,0.01421,0.0004556,0.0004556,0.0004556
80,962.601,0.59748,0.23164,0.01075,0.98293,0.99282,0.99465,0.90175,0.47642,0.16439,0.01259,0.0004358,0.0004358,0.0004358
81,974.642,0.60196,0.23516,0.01135,0.99564,0.98393,0.99479,0.89657,0.48772,0.15295,0.01273,0.000416,0.000416,0.000416
82,987.318,0.58455,0.217,0.01053,0.9997,0.99138,0.995,0.89044,0.51379,0.15246,0.01367,0.0003962,0.0003962,0.0003962
83,999.795,0.59774,0.22998,0.01086,0.98631,0.99569,0.99474,0.88837,0.51245,0.1597,0.01361,0.0003764,0.0003764,0.0003764
84,1011.73,0.59024,0.21704,0.01074,0.99275,0.98276,0.99479,0.8968,0.48794,0.15819,0.01276,0.0003566,0.0003566,0.0003566
85,1024.78,0.58356,0.22508,0.0106,0.99343,0.99569,0.99496,0.89598,0.48222,0.14445,0.01257,0.0003368,0.0003368,0.0003368
86,1037.19,0.5905,0.22394,0.01116,0.999,0.99138,0.995,0.90683,0.47221,0.14256,0.01232,0.000317,0.000317,0.000317
87,1049.69,0.57526,0.22512,0.01028,0.99943,0.99569,0.995,0.90169,0.47738,0.13923,0.01247,0.0002972,0.0002972,0.0002972
88,1062.34,0.58321,0.22412,0.01053,0.98722,0.99872,0.99496,0.89377,0.48702,0.14704,0.01265,0.0002774,0.0002774,0.0002774
89,1075.12,0.58025,0.22047,0.01062,0.99141,0.99451,0.99487,0.8944,0.48391,0.15202,0.01267,0.0002576,0.0002576,0.0002576
90,1087.07,0.55561,0.21544,0.01007,1,0.98066,0.99487,0.8937,0.49532,0.15968,0.0129,0.0002378,0.0002378,0.0002378
91,1101.6,0.45546,0.16273,0.01181,1,0.98271,0.99483,0.87606,0.52504,0.16173,0.0137,0.000218,0.000218,0.000218
92,1114.24,0.42049,0.14109,0.01069,1,0.9863,0.99491,0.88441,0.5148,0.15608,0.01367,0.0001982,0.0001982,0.0001982
93,1126.8,0.39975,0.13407,0.00975,0.99526,0.99569,0.995,0.89544,0.49053,0.1481,0.01288,0.0001784,0.0001784,0.0001784
94,1138.91,0.39897,0.13078,0.00972,0.99569,0.99514,0.99496,0.90399,0.48212,0.14571,0.01275,0.0001586,0.0001586,0.0001586
95,1150.81,0.39121,0.13048,0.00975,0.99507,0.99569,0.995,0.89936,0.48706,0.14833,0.0129,0.0001388,0.0001388,0.0001388
96,1163.08,0.3927,0.12746,0.0094,0.99515,0.99569,0.99496,0.90188,0.47413,0.1431,0.01249,0.000119,0.000119,0.000119
97,1174.47,0.39716,0.13208,0.00981,0.99467,0.99569,0.99496,0.89846,0.47939,0.14207,0.01256,9.92e-05,9.92e-05,9.92e-05
98,1186.35,0.38568,0.13413,0.00948,1,0.9948,0.995,0.90294,0.47267,0.14063,0.01234,7.94e-05,7.94e-05,7.94e-05
99,1198.39,0.3799,0.12922,0.0092,0.9992,1,0.995,0.90413,0.4668,0.13778,0.01214,5.96e-05,5.96e-05,5.96e-05
100,1211.16,0.3754,0.1255,0.00913,1,0.99539,0.995,0.90064,0.47259,0.14054,0.01237,3.98e-05,3.98e-05,3.98e-05
