epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
28,135.571,0.82662,55.7295,0.40141,0.55074,1.19881,0.97365,1,0.99115,0.74846,0.67946,0.68421,0.59612,0.13421,0.77968,38.0117,0.32179,0.49468,1.22385,0.0014654,0.0014654,0.0014654
29,140.186,0.82905,53.5522,0.4015,0.54445,1.19937,0.99787,1,0.995,0.79223,0.69031,0.68421,0.57889,0.13135,0.68594,37.9717,0.32468,0.45101,1.16071,0.0014456,0.0014456,0.0014456
30,144.817,0.78822,52.9303,0.39551,0.53261,1.17958,0.99817,1,0.995,0.81284,0.59442,0.63158,0.48829,0.08819,0.65563,38.2538,0.31496,0.43205,1.1239,0.0014258,0.0014258,0.0014258
31,149.463,0.82484,53.1411,0.39277,0.5221,1.21337,0.99813,1,0.995,0.83899,0.66357,0.63158,0.50285,0.09501,0.75297,39.9384,0.2987,0.44052,1.14984,0.001406,0.001406,0.001406
32,154.077,0.80421,53.0236,0.41065,0.53362,1.17492,0.99781,1,0.995,0.81339,0.61856,0.60526,0.44641,0.08666,0.71592,39.1285,0.31276,0.43747,1.10683,0.0013862,0.0013862,0.0013862
33,158.689,0.77255,51.4933,0.40953,0.50829,1.17609,0.99821,1,0.995,0.82545,0.7092,0.71053,0.59338,0.14116,0.68845,36.5622,0.31817,0.41583,1.06235,0.0013664,0.0013664,0.0013664
34,163.341,0.76889,51.2814,0.38822,0.4997,1.15455,0.99826,1,0.995,0.79191,0.72188,0.71053,0.6346,0.13894,0.80735,37.2428,0.30824,0.43595,1.14422,0.0013466,0.0013466,0.0013466
35,167.982,0.73897,50.7016,0.39682,0.4862,1.13318,0.99119,1,0.995,0.85862,0.78946,0.71053,0.64947,0.14369,0.63208,37.2201,0.32076,0.38784,1.05508,0.0013268,0.0013268,0.0013268
36,172.628,0.76471,51.4109,0.39695,0.50782,1.14508,0.99771,1,0.995,0.84903,0.65639,0.65789,0.4934,0.13906,0.62396,35.5372,0.31887,0.4016,1.07562,0.001307,0.001307,0.001307
37,177.257,0.74728,49.7568,0.39685,0.50462,1.13519,0.99814,1,0.995,0.81483,0.75228,0.71939,0.62705,0.17808,0.60684,34.4786,0.30833,0.40138,1.05952,0.0012872,0.0012872,0.0012872
38,181.905,0.79115,51.9665,0.39502,0.51538,1.18209,0.98985,1,0.995,0.84603,0.73421,0.73684,0.57572,0.13716,0.56706,34.5968,0.31434,0.38998,1.06174,0.0012674,0.0012674,0.0012674
39,186.503,0.78515,50.752,0.40004,0.51181,1.19576,0.99809,1,0.995,0.8582,0.78643,0.73684,0.6079,0.1428,0.60552,34.7579,0.31331,0.37327,1.05348,0.0012476,0.0012476,0.0012476
40,191.123,0.74464,50.714,0.39225,0.50159,1.14184,0.99723,1,0.995,0.86789,0.74169,0.68421,0.59642,0.17607,0.5955,33.8325,0.30636,0.38676,1.05066,0.0012278,0.0012278,0.0012278
41,195.771,0.7761,49.7918,0.40515,0.51124,1.1506,0.99751,1,0.995,0.83586,0.7753,0.72656,0.64553,0.14681,0.66713,34.8665,0.31483,0.46435,1.1148,0.001208,0.001208,0.001208
42,200.374,0.76683,50.2239,0.39781,0.50099,1.14812,0.998,1,0.995,0.8542,0.76217,0.68421,0.56688,0.1578,0.61419,34.1016,0.31893,0.3828,1.07085,0.0011882,0.0011882,0.0011882
