epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,83.3972,0.6508,10.7192,0.4145,0.42436,1.14384,0.94999,0.94974,0.97119,0.65047,0,0,0,0,1.1081,10.9267,0.33133,0.66568,1.98172,0.0014258,0.0014258,0.0014258
31,85.9472,0.68149,10.6923,0.40776,0.44373,1.1994,0.98528,1,0.995,0.77772,0,0,0,0,0.77343,10.4495,0.32694,0.54288,1.48145,0.001406,0.001406,0.001406
32,88.5223,0.65289,10.7116,0.3886,0.43863,1.19468,0.90494,0.95209,0.97045,0.61944,0,0,0,0,1.22343,10.4224,0.33306,0.74151,2.00255,0.0013862,0.0013862,0.0013862
33,91.0768,0.69288,10.7267,0.39837,0.46818,1.20579,0.94824,1,0.99262,0.77485,0,0,0,0,0.86366,9.8207,0.33177,0.56621,1.64632,0.0013664,0.0013664,0.0013664
34,93.666,0.64549,10.4644,0.39422,0.42461,1.15995,0.94935,1,0.995,0.6974,0,0,0,0,0.98461,9.60729,0.35138,0.66536,1.75684,0.0013466,0.0013466,0.0013466
35,96.2261,0.66652,10.5123,0.39153,0.46338,1.18896,0.97736,0.95,0.99262,0.79372,0,0,0,0,0.73932,10.3853,0.35617,0.57238,1.44687,0.0013268,0.0013268,0.0013268
36,98.8161,0.6475,10.5415,0.39858,0.42006,1.14719,0.98542,1,0.995,0.88338,0,0,0,0,0.59755,10.1556,0.33811,0.40667,1.23937,0.001307,0.001307,0.001307
37,101.416,0.62937,10.3532,0.39155,0.40019,1.14864,0.98514,1,0.995,0.86749,0,0,0,0,0.60956,10.1611,0.32589,0.4038,1.26,0.0012872,0.0012872,0.0012872
38,104.003,0.64142,10.4966,0.38962,0.42147,1.17861,0.97585,1,0.995,0.84655,0,0,0,0,0.65683,10.7123,0.32219,0.41611,1.3964,0.0012674,0.0012674,0.0012674
39,106.573,0.60307,10.532,0.38868,0.40928,1.1376,0.9943,1,0.995,0.85739,0,0,0,0,0.58308,9.92781,0.32988,0.34006,1.27465,0.0012476,0.0012476,0.0012476
40,109.166,0.61042,10.4499,0.39538,0.39685,1.1472,0.98849,1,0.995,0.8708,0,0,0,0,0.54567,9.65588,0.33888,0.34302,1.20919,0.0012278,0.0012278,0.0012278
41,111.723,0.63446,10.4014,0.40113,0.40296,1.15785,0.96238,1,0.995,0.8813,0,0,0,0,0.55888,9.89173,0.34066,0.3683,1.19717,0.001208,0.001208,0.001208
42,114.316,0.64844,10.3725,0.39096,0.40448,1.16339,0.98966,1,0.995,0.74125,0,0,0,0,0.96796,11.4409,0.36879,0.50931,2.06195,0.0011882,0.0011882,0.0011882
43,116.871,0.62881,10.3269,0.39149,0.39843,1.16983,0.99868,1,0.995,0.8118,0,0,0,0,0.67922,10.329,0.3544,0.38839,1.36198,0.0011684,0.0011684,0.0011684
44,119.433,0.63222,10.2718,0.39296,0.39579,1.13946,0.99658,1,0.995,0.86885,0,0,0,0,0.56653,9.56785,0.36124,0.32771,1.21302,0.0011486,0.0011486,0.0011486
45,121.979,0.65133,10.4752,0.39193,0.4027,1.15205,0.9999,1,0.995,0.80542,0,0,0,0,0.70523,9.96734,0.33961,0.38756,1.36563,0.0011288,0.0011288,0.0011288
46,124.536,0.59725,10.4319,0.37257,0.39419,1.13748,0.99678,1,0.995,0.87422,0,0,0,0,0.54259,10.1469,0.3407,0.32082,1.21896,0.001109,0.001109,0.001109
47,127.091,0.58577,10.2902,0.38636,0.38462,1.11703,0.99683,1,0.995,0.8882,0,0,0,0,0.55652,9.39471,0.344,0.3308,1.24328,0.0010892,0.0010892,0.0010892
48,129.683,0.62059,10.3851,0.38029,0.38993,1.14443,0.99975,1,0.995,0.83544,0,0,0,0,0.61744,9.45992,0.34429,0.40446,1.27085,0.0010694,0.0010694,0.0010694
49,132.234,0.57173,10.2381,0.37337,0.3793,1.12802,0.9741,1,0.995,0.87092,0,0,0,0,0.53423,9.65469,0.36036,0.35809,1.19322,0.0010496,0.0010496,0.0010496
50,134.794,0.55373,10.0768,0.38749,0.35879,1.1129,0.99192,1,0.995,0.89575,0,0,0,0,0.46762,9.56071,0.35337,0.29966,1.10816,0.0010298,0.0010298,0.0010298
51,137.377,0.57884,10.056,0.39645,0.36866,1.12391,0.99715,1,0.995,0.88438,0,0,0,0,0.5006,9.86357,0.35174,0.28062,1.12061,0.00101,0.00101,0.00101
52,139.966,0.58784,10.0013,0.38406,0.36923,1.125,0.99708,1,0.995,0.84831,0,0,0,0,0.65444,9.56769,0.37017,0.32378,1.3202,0.0009902,0.0009902,0.0009902
53,142.531,0.56805,10.0685,0.3814,0.37077,1.11586,0.99687,1,0.995,0.85246,0,0,0,0,0.65152,9.55247,0.37473,0.40609,1.33057,0.0009704,0.0009704,0.0009704
54,145.105,0.55407,10.1151,0.3906,0.34906,1.1027,0.99797,1,0.995,0.85209,0,0,0,0,0.60851,9.23475,0.39255,0.28667,1.20485,0.0009506,0.0009506,0.0009506
55,147.676,0.54661,10.0616,0.39081,0.3652,1.11403,1,0.99654,0.995,0.86021,0,0,0,0,0.56443,9.09497,0.40504,0.30851,1.16239,0.0009308,0.0009308,0.0009308
56,150.264,0.54485,10.1231,0.38679,0.36214,1.13112,0.99726,1,0.995,0.85347,0,0,0,0,0.54981,9.0533,0.38789,0.35015,1.17059,0.000911,0.000911,0.000911
