group,n,n_measurable,n_unmeasurable,prevalence_measurable,baseline_accuracy
coleoptera,397,384,13,0.9672544080604534,0.9672544080604534
diptera,287,267,20,0.9303135888501742,0.9303135888501742
hymenoptera,241,230,11,0.9543568464730291,0.9543568464730291
lepidoptera,274,144,130,0.5255474452554745,0.5255474452554745
ALL,1199,1025,174,0.8548790658882403,0.8548790658882403
