image_name,in_train,in_val,total length [px],head width [px],head length [px],inter ocular distance [px],right antenna length [px],left antenna length [px],thorax width [px],thorax length [px],abdomen width [px],abdomen length [px],intertegular distance [px],left hind wing length [px],right hind wing length [px],left hind wing width [px],right hind wing width [px],left fore wing length [px],right fore wing length [px],left fore wing width [px],right fore wing width [px],left hind leg length [px],left hind leg femur length [px],left hind leg tibia length [px],left hind leg tarsus length [px],right hind leg length [px],right hind leg femur length [px],right hind leg tibia length [px],right hind leg tarsus length [px],total length [mm],head width [mm],head length [mm],inter ocular distance [mm],right antenna length [mm],left antenna length [mm],thorax width [mm],thorax length [mm],abdomen width [mm],abdomen length [mm],intertegular distance [mm],left hind wing length [mm],right hind wing length [mm],left hind wing width [mm],right hind wing width [mm],left fore wing length [mm],right fore wing length [mm],left fore wing width [mm],right fore wing width [mm],left hind leg length [mm],left hind leg femur length [mm],left hind leg tibia length [mm],left hind leg tarsus length [mm],right hind leg length [mm],right hind leg femur length [mm],right hind leg tibia length [mm],right hind leg tarsus length [mm],total length [conf],head width [conf],head length [conf],inter ocular distance [conf],right antenna length [conf],left antenna length [conf],thorax width [conf],thorax length [conf],abdomen width [conf],abdomen length [conf],intertegular distance [conf],left hind wing length [conf],right hind wing length [conf],left hind wing width [conf],right hind wing width [conf],left fore wing length [conf],right fore wing length [conf],left fore wing width [conf],right fore wing width [conf],left hind leg length [conf],left hind leg femur length [conf],left hind leg tibia length [conf],left hind leg tarsus length [conf],right hind leg length [conf],right hind leg femur length [conf],right hind leg tibia length [conf],right hind leg tarsus length [conf],overall_pose_confidence,scale_px_per_mm,scale_confidence,scale_method,scale_bar_confidence,ruler_confidence,scale_bar_box,scale_text_box,scale_ocr_text,ruler_line,ruler_orientation,detection_confidence,image_width,image_height,needs_review,coleoptera_one_hot,diptera_one_hot,hymenoptera_one_hot,lepidoptera_one_hot,total length [valid_proba],head width [valid_proba],head length [valid_proba],inter ocular distance [valid_proba],right antenna length [valid_proba],left antenna length [valid_proba],thorax width [valid_proba],thorax length [valid_proba],abdomen width [valid_proba],abdomen length [valid_proba],intertegular distance [valid_proba],left hind wing length [valid_proba],right hind wing length [valid_proba],left hind wing width [valid_proba],right hind wing width [valid_proba],left fore wing length [valid_proba],right fore wing length [valid_proba],left fore wing width [valid_proba],right fore wing width [valid_proba],left hind leg length [valid_proba],left hind leg femur length [valid_proba],left hind leg tibia length [valid_proba],left hind leg tarsus length [valid_proba],right hind leg length [valid_proba],right hind leg femur length [valid_proba],right hind leg tibia length [valid_proba],right hind leg tarsus length [valid_proba],total length [valid_pred],head width [valid_pred],head length [valid_pred],inter ocular distance [valid_pred],right antenna length [valid_pred],left antenna length [valid_pred],thorax width [valid_pred],thorax length [valid_pred],abdomen width [valid_pred],abdomen length [valid_pred],intertegular distance [valid_pred],left hind wing length [valid_pred],right hind wing length [valid_pred],left hind wing width [valid_pred],right hind wing width [valid_pred],left fore wing length [valid_pred],right fore wing length [valid_pred],left fore wing width [valid_pred],right fore wing width [valid_pred],left hind leg length [valid_pred],left hind leg femur length [valid_pred],left hind leg tibia length [valid_pred],left hind leg tarsus length [valid_pred],right hind leg length [valid_pred],right hind leg femur length [valid_pred],right hind leg tibia length [valid_pred],right hind leg tarsus length [valid_pred],scale time [s],pose time [s],measurements time [s],confidence time [s],mm_conversion time [s],measurement_classifier time [s],total time [s],head-top [kp_x],head-top [kp_y],head-top [kp_conf],head-left [kp_x],head-left [kp_y],head-left [kp_conf],head-right [kp_x],head-right [kp_y],head-right [kp_conf],left-eye [kp_x],left-eye [kp_y],left-eye [kp_conf],right-eye [kp_x],right-eye [kp_y],right-eye [kp_conf],neck [kp_x],neck [kp_y],neck [kp_conf],thorax-left [kp_x],thorax-left [kp_y],thorax-left [kp_conf],thorax-right [kp_x],thorax-right [kp_y],thorax-right [kp_conf],thorax-bottom [kp_x],thorax-bottom [kp_y],thorax-bottom [kp_conf],body-left [kp_x],body-left [kp_y],body-left [kp_conf],body-right [kp_x],body-right [kp_y],body-right [kp_conf],body-tip [kp_x],body-tip [kp_y],body-tip [kp_conf],left-antenna-0 [kp_x],left-antenna-0 [kp_y],left-antenna-0 [kp_conf],left-antenna-1 [kp_x],left-antenna-1 [kp_y],left-antenna-1 [kp_conf],left-antenna-2 [kp_x],left-antenna-2 [kp_y],left-antenna-2 [kp_conf],right-antenna-0 [kp_x],right-antenna-0 [kp_y],right-antenna-0 [kp_conf],right-antenna-1 [kp_x],right-antenna-1 [kp_y],right-antenna-1 [kp_conf],right-antenna-2 [kp_x],right-antenna-2 [kp_y],right-antenna-2 [kp_conf],left-forewing-base [kp_x],left-forewing-base [kp_y],left-forewing-base [kp_conf],left-forewing-tip [kp_x],left-forewing-tip [kp_y],left-forewing-tip [kp_conf],left-forewing-front [kp_x],left-forewing-front [kp_y],left-forewing-front [kp_conf],left-forewing-rear [kp_x],left-forewing-rear [kp_y],left-forewing-rear [kp_conf],right-forewing-base [kp_x],right-forewing-base [kp_y],right-forewing-base [kp_conf],right-forewing-tip [kp_x],right-forewing-tip [kp_y],right-forewing-tip [kp_conf],right-forewing-front [kp_x],right-forewing-front [kp_y],right-forewing-front [kp_conf],right-forewing-rear [kp_x],right-forewing-rear [kp_y],right-forewing-rear [kp_conf],left-hindwing-base [kp_x],left-hindwing-base [kp_y],left-hindwing-base [kp_conf],left-hindwing-tip [kp_x],left-hindwing-tip [kp_y],left-hindwing-tip [kp_conf],left-hindwing-front [kp_x],left-hindwing-front [kp_y],left-hindwing-front [kp_conf],left-hindwing-rear [kp_x],left-hindwing-rear [kp_y],left-hindwing-rear [kp_conf],right-hindwing-base [kp_x],right-hindwing-base [kp_y],right-hindwing-base [kp_conf],right-hindwing-tip [kp_x],right-hindwing-tip [kp_y],right-hindwing-tip [kp_conf],right-hindwing-front [kp_x],right-hindwing-front [kp_y],right-hindwing-front [kp_conf],right-hindwing-rear [kp_x],right-hindwing-rear [kp_y],right-hindwing-rear [kp_conf],left-leg-0 [kp_x],left-leg-0 [kp_y],left-leg-0 [kp_conf],left-leg-1 [kp_x],left-leg-1 [kp_y],left-leg-1 [kp_conf],left-leg-2 [kp_x],left-leg-2 [kp_y],left-leg-2 [kp_conf],left-leg-3 [kp_x],left-leg-3 [kp_y],left-leg-3 [kp_conf],right-leg-0 [kp_x],right-leg-0 [kp_y],right-leg-0 [kp_conf],right-leg-1 [kp_x],right-leg-1 [kp_y],right-leg-1 [kp_conf],right-leg-2 [kp_x],right-leg-2 [kp_y],right-leg-2 [kp_conf],right-leg-3 [kp_x],right-leg-3 [kp_y],right-leg-3 [kp_conf]
WhatsApp Image 2026-09-10 at 15.55.11 3.jpeg,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.51851851851852,0.5537901308841915,ruler,0.0,0.5537901308841915,,,,1535,horizontal,,1536,2048,0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0806011550594121,0.19936335808597505,,,,,1.2799955748487264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WhatsApp Image 2026-09-10 at 17.52.54.jpeg,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.53333333333334,0.11340873466198906,ruler,0.0,0.11340873466198906,,,,1590,horizontal,,1536,2048,1,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0490641249343753,0.21227068384177983,,,,,1.2613518950529397,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WhatsApp Image 2026-09-10 at 17.52.54 2.jpeg,0,0,370.682616865251,98.68594761846978,20.600086905942216,67.40185216902947,149.0933403206577,118.68294737707532,173.048144153931,146.36821717991197,165.86780276933882,203.71431277939683,185.07264699977839,314.3225648089241,248.5089465610141,149.39338630411336,142.17343707546604,359.39111445569523,254.83595706812062,117.18446021832757,107.7257438671167,167.42639317854946,36.215582093824345,49.28685136934991,81.92395971537522,184.21420907491643,38.58279433021555,53.665874436623795,91.9655403080771,19.958066243403515,5.313388301071703,1.109137252147217,3.629009209802213,8.027392241195042,6.3900545047007045,9.317152105834172,7.880667831444244,8.930552566271636,10.968261159812053,9.964568017513287,16.92356286708053,13.380066374534348,8.043547133119883,7.6548150522957785,19.350116091914792,13.720721396049544,6.309373877613061,5.800103469652026,9.014469235729775,1.9498971723691891,2.6536724405284113,4.410899622832176,9.918348528951531,2.0773511625930285,2.8894451163477752,4.951552250010729,0.0541703961789608,0.11272306740283966,0.0541703961789608,0.03311567008495331,0.03341102972626686,0.026112431660294533,0.8576500415802002,0.42401477694511414,0.9702928066253662,0.9840059876441956,0.9119110703468323,0.5409326553344727,0.4612874388694763,0.37534278631210327,0.327075332403183,0.49232247471809387,0.31881025433540344,0.5149129629135132,0.48608797788619995,0.05427960306406021,0.05427960306406021,0.16753950715065002,0.21302860975265503,0.06662575900554657,0.06662575900554657,0.21898306906223297,0.2291656881570816,0.261758087387577,18.573072778920555,0.3544190112588078,ruler,0.0,0.3544190112588078,,,,1235,horizontal,0.5981813669204712,1536,2048,1,0.0,0.0,0.0,0.0,0.6055406576457163,0.1146151468776968,0.5318445643135521,0.11299345652483794,0.09052976957725845,0.22029577986161386,0.8030436831974553,,0.9541527297476929,0.7253995596898521,0.7955797913944014,0.4391807064315685,0.2766853619205213,0.03585026279524106,0.08084041991079971,0.32294555975070705,0.19789966977466977,0.35456010208320066,0.1992918162547822,0.00464285714285706,0.014080330278225861,0.22347642259781797,0.28643596423632844,0.009664788732394403,0.014440780839894973,0.3068366862205072,0.20632064152385166,1,0,1,0,0,0,1,,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0144219410140067,0.23770784307271242,4.0841056033968925e-05,0.00018655718304216862,1.078704372048378e-05,0.20912699098698795,1.461520957062021,901.57,703.65,0.0542,849.15,722.48,0.1127,947.73,727.17,0.2081,865.39,721.79,0.0331,932.69,725.65,0.0442,898.48,724.02,0.4240,807.11,772.37,0.8577,979.65,785.61,0.9244,878.59,869.03,0.9914,779.91,933.68,0.9703,945.10,948.60,0.9813,835.44,1068.12,0.9840,868.05,719.97,0.0364,796.50,748.75,0.0261,769.46,780.32,0.0366,931.08,716.19,0.0348,1006.75,777.58,0.0334,1029.25,824.07,0.0544,801.82,757.84,0.9119,444.20,722.20,0.4923,554.66,703.60,0.5149,515.84,814.17,0.8105,986.24,773.35,0.9363,1236.02,823.88,0.3188,1204.53,776.52,0.4861,1186.07,882.66,0.6412,799.32,811.59,0.7614,485.31,825.74,0.5409,560.95,813.05,0.3753,664.38,920.85,0.8423,974.60,826.59,0.7960,1205.26,919.06,0.4613,1158.29,874.18,0.3271,1042.88,957.21,0.8341,796.50,858.70,0.0543,766.84,879.49,0.1675,757.15,927.82,0.2130,737.10,1007.25,0.2651,940.57,868.61,0.0666,966.94,896.78,0.2190,956.72,949.46,0.2292,939.34,1039.77,0.3064
