epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,82.7346,0.83304,21.6846,0.54018,0.50186,1.31785,0.97351,1,0.995,0.7007,0,0,0,0,0.94962,20.3983,0.51032,0.67118,1.8059,0.0014258,0.0014258,0.0014258
31,85.2181,0.81963,21.8204,0.54992,0.50896,1.32818,0.97809,1,0.995,0.62803,0,0,0,0,1.13943,20.9539,0.49339,0.81049,2.03858,0.001406,0.001406,0.001406
32,87.7113,0.94689,21.7346,0.52988,0.56088,1.44135,0.99356,1,0.995,0.624,0,0,0,0,1.2047,21.6151,0.52472,0.86404,2.05004,0.0013862,0.0013862,0.0013862
33,90.1921,0.88796,21.8003,0.52946,0.5814,1.37979,0.89141,0.94737,0.94897,0.71976,0,0,0,0,0.95562,21.064,0.51639,0.96172,1.6954,0.0013664,0.0013664,0.0013664
34,92.6968,0.8399,21.9974,0.53758,0.5314,1.34102,0.87208,0.89474,0.9553,0.66822,0,0,0,0,1.19199,20.2277,0.53311,1.34125,2.00927,0.0013466,0.0013466,0.0013466
35,95.1763,0.85533,21.6384,0.53747,0.53933,1.36994,1,0.99399,0.995,0.79581,0,0,0,0,0.87443,20.7967,0.57121,0.84744,1.64405,0.0013268,0.0013268,0.0013268
36,97.6728,0.84365,21.8189,0.54104,0.53803,1.3759,1,0.99975,0.995,0.79285,0,0,0,0,0.74824,20.5098,0.49585,0.60888,1.48699,0.001307,0.001307,0.001307
37,100.153,0.81657,21.4021,0.53345,0.52816,1.30775,0.99183,1,0.995,0.77623,0,0,0,0,0.9114,20.3151,0.49959,0.66178,1.74311,0.0012872,0.0012872,0.0012872
38,102.65,0.8259,21.6681,0.52829,0.51065,1.34961,0.81852,0.94961,0.9478,0.68583,0,0,0,0,0.92393,20.2275,0.50341,1.07635,1.74167,0.0012674,0.0012674,0.0012674
39,105.133,0.77761,21.6442,0.53192,0.49153,1.32607,0.90297,1,0.98761,0.67885,0,0,0,0,0.961,20.2705,0.51262,0.87479,1.74609,0.0012476,0.0012476,0.0012476
40,107.627,0.76789,21.443,0.54125,0.47588,1.31485,0.97513,1,0.995,0.81214,0,0,0,0,0.81027,20.9663,0.51856,0.51164,1.58464,0.0012278,0.0012278,0.0012278
41,110.104,0.79236,21.6707,0.53593,0.49689,1.33087,0.9912,1,0.995,0.7506,0,0,0,0,0.85952,20.3334,0.51782,0.6089,1.68288,0.001208,0.001208,0.001208
42,112.598,0.85282,21.4076,0.53481,0.5192,1.3596,0.90191,0.94737,0.98497,0.72962,0,0,0,0,0.96768,21.0252,0.56042,0.70204,1.743,0.0011882,0.0011882,0.0011882
43,115.075,0.79753,21.3692,0.52271,0.50853,1.33586,0.98429,1,0.995,0.79604,0,0,0,0,0.79233,20.3096,0.53102,0.61017,1.60436,0.0011684,0.0011684,0.0011684
44,117.569,0.7803,21.266,0.53384,0.47686,1.30447,0.94571,1,0.9925,0.83392,0,0,0,0,0.74539,20.3975,0.53779,0.4437,1.6282,0.0011486,0.0011486,0.0011486
45,120.068,0.80515,21.8659,0.53755,0.47095,1.28808,0.99452,1,0.995,0.8315,0,0,0,0,0.77337,20.7274,0.50792,0.41076,1.58805,0.0011288,0.0011288,0.0011288
46,122.564,0.74258,21.3364,0.52525,0.48825,1.27546,0.9952,1,0.995,0.81034,0,0,0,0,0.66162,19.9,0.50731,0.39938,1.4584,0.001109,0.001109,0.001109
47,125.043,0.75558,21.355,0.52566,0.46163,1.27778,0.99518,1,0.995,0.85052,0,0,0,0,0.62805,20.3371,0.49511,0.49624,1.42935,0.0010892,0.0010892,0.0010892
48,127.564,0.77386,21.3708,0.52095,0.4706,1.30133,0.98968,1,0.995,0.8675,0,0,0,0,0.6223,20.2207,0.5223,0.53044,1.42786,0.0010694,0.0010694,0.0010694
49,130.071,0.76291,21.2743,0.50709,0.4847,1.30264,0.99029,1,0.995,0.86567,0,0,0,0,0.63936,20.0627,0.53372,0.5329,1.42721,0.0010496,0.0010496,0.0010496
50,132.57,0.72254,21.3374,0.52716,0.44048,1.27046,0.99173,1,0.995,0.81138,0,0,0,0,0.80543,19.5882,0.54598,0.43698,1.52647,0.0010298,0.0010298,0.0010298
51,135.039,0.72132,21.4766,0.52369,0.44959,1.27275,0.98846,1,0.995,0.82717,0,0,0,0,0.78106,19.4063,0.54352,0.43328,1.53638,0.00101,0.00101,0.00101
52,137.535,0.66761,21.1484,0.53319,0.4184,1.21268,0.99371,1,0.995,0.83935,0,0,0,0,0.64718,19.2314,0.53755,0.41454,1.394,0.0009902,0.0009902,0.0009902
53,140,0.71557,21.0725,0.52431,0.45062,1.27513,0.99494,1,0.995,0.84575,0,0,0,0,0.66533,19.6609,0.55689,0.40818,1.43615,0.0009704,0.0009704,0.0009704
54,142.499,0.74613,21.5341,0.51775,0.43539,1.29998,0.99606,1,0.995,0.85062,0,0,0,0,0.65729,20.474,0.5403,0.43302,1.45606,0.0009506,0.0009506,0.0009506
55,144.975,0.66992,21.1837,0.51742,0.42292,1.25462,0.99617,1,0.995,0.84062,0,0,0,0,0.65275,20.1808,0.52561,0.40755,1.42532,0.0009308,0.0009308,0.0009308
56,147.466,0.6417,21.0052,0.51419,0.4054,1.23035,0.99463,1,0.995,0.86869,0,0,0,0,0.61147,19.5196,0.53635,0.36162,1.33578,0.000911,0.000911,0.000911
