image,confidence
EA1.0HJ.jpg,0.6553323268890381
EA1.0IU.jpg,0.6345242857933044
EA1.0OZ.jpg,0.6330970525741577
EA1.0P3.jpg,0.6186337471008301
EA1.0PX.jpg,0.652729868888855
EA1.0VD.jpg,0.6732699275016785
EA1.0VZ.jpg,0.6457836627960205
EA1.0WH.jpg,0.6723582744598389
EA1.0WV.jpg,0.6162804365158081
EA1.0Y5.jpg,0.6679450273513794
EA1.114.jpg,0.6383370161056519
EA1.12N.jpg,0.6333534717559814
EA1.16A.jpg,0.6367447972297668
EA1.16W.jpg,0.6492295265197754
EA1.182.jpg,0.6557614803314209
EA1.19C.jpg,0.6438208818435669
EA1.19G.jpg,0.633978545665741
EA1.1DF.jpg,0.6544260382652283
EA1.1F2.jpg,0.6399586796760559
EA1.1G5.jpg,0.6614333391189575
EA1.1HC.jpg,0.6336464881896973
EA1.1M4.jpg,0.6251732110977173
EA1.1MM.jpg,0.6135485768318176
EA1.1N2.jpg,0.5905593037605286
EA1.1N4.jpg,0.6768947243690491
EA1.1QS.jpg,0.6532809138298035
EA1.1RG.jpg,0.6392996907234192
EA1.1RV.jpg,0.660096287727356
EA1.1SX.jpg,0.6650358438491821
EA1.1UK.jpg,0.624714195728302
EA1.1VZ.jpg,0.6682544946670532
EA1.1YX.jpg,0.6301819682121277
EA1.1ZW.jpg,0.5705037713050842
EA1.20T.jpg,0.6468863487243652
EA1.255.jpg,0.2564053535461426
EA1.268.jpg,0.6170289516448975
EA1.2GR.jpg,0.6625609397888184
EA1.2KI.jpg,0.6402126550674438
EA1.2KP.jpg,0.6279370784759521
EA1.2LG.jpg,0.6392865777015686
EA1.2PS.jpg,0.6375872492790222
EA1.2QT.jpg,0.6429697871208191
EA1.2WK.jpg,0.636107861995697
EA1.2ZQ.jpg,0.6213862299919128
EA1.30P.jpg,0.6358444094657898
EA1.31I.jpg,0.6210431456565857
EA1.329.jpg,0.6737650036811829
EA2.05J.jpg,0.6307379007339478
EA2.0D7.jpg,0.6418640613555908
EA2.0E7.jpg,0.627704918384552
EA2.0EU.jpg,0.5122437477111816
EA3.0JH.jpg,0.6345374584197998
EA3.0MX.jpg,0.6524817943572998
EA3.10Q.jpg,0.6206197738647461
EA3.121.jpg,0.6354257464408875
EA3.12P.jpg,0.6571882963180542
EA3.17D.jpg,0.663372814655304
EA3.18P.jpg,0.6813318729400635
EA3.19W.jpg,0.6683512330055237
EA3.1A3.jpg,0.6609711647033691
EA3.1AJ.jpg,0.6483961939811707
EA3.1DZ.jpg,0.6692626476287842
EA3.1GU.jpg,0.6772181391716003
EA3.1GZ.jpg,0.6617409586906433
EA3.1JI.jpg,0.5847004652023315
EA3.1LS.jpg,0.6502462029457092
EA3.1LT.jpg,0.6725801825523376
EA4.07U.jpg,0.6038055419921875
EA4.0CA.jpg,0.6362708210945129
EA4.0CJ.jpg,0.6310294270515442
EA4.0DA.jpg,0.6543958783149719
EA4.0F0.jpg,0.6182173490524292
EA4.0F5.jpg,0.6443204283714294
EA4.0L2.jpg,0.6546473503112793
EA4.0L7.jpg,0.6685203909873962
EA4.0LU.jpg,0.6648305654525757
EA4.0M9.jpg,0.6405757069587708
EA4.0N6.jpg,0.6536574363708496
EA4.0O9.jpg,0.6621256470680237
EA4.0OC.jpg,0.5560182332992554
EA4.0QF.jpg,0.6560695171356201
EA4.0TH.jpg,0.6040387153625488
EA4.0VD.jpg,0.6660863161087036
EA4.0W7.jpg,0.6119885444641113
EA4.0Y9.jpg,0.633511483669281
EA4.0ZL.jpg,0.619059145450592
EA4.11V.jpg,0.6732511520385742
EA4.120.jpg,0.6133428812026978
EA4.13V.jpg,0.5688489079475403
EA4.15F.jpg,0.6330593228340149
EA4.166.jpg,0.6376997232437134
EA4.18T.jpg,0.6523827314376831
EA4.1AI.jpg,0.6645268201828003
EA4.1BG.jpg,0.6511614322662354
EA4.1EZ.jpg,0.6164215803146362
EA4.1FW.jpg,0.6210554242134094
EA4.1GA.jpg,0.599847674369812
EA4.1GB.jpg,0.5996213555335999
EA4.1GW.jpg,0.6222107410430908
EA4.1IS.jpg,0.6213992238044739
EA4.1J2.jpg,0.6180533170700073
EA4.1KP.jpg,0.6149086952209473
EA4.1RB.jpg,0.6378738284111023
EA4.1SR.jpg,0.6257715225219727
EA4.1TG.jpg,0.0
EA4.1U3.jpg,0.6253798604011536
EA4.20P.jpg,0.6305386424064636
EA5.0ER.jpg,0.5798420310020447
EA5.0F6.jpg,0.6140261292457581
EA5.0FY.jpg,0.6061285138130188
EA5.0MQ.jpg,0.6036684513092041
EA5.0PL.jpg,0.6148606538772583
EA5.0QC.jpg,0.6208480596542358
EA5.0QT.jpg,0.6306214332580566
EA5.0RP.jpg,0.6396746039390564
