epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,783.986,0.61868,0.29459,0.01087,0.98785,0.98276,0.99436,0.87708,0.49834,0.1759,0.01381,0.000742625,0.000742625,0.000742625
43,801.929,0.62104,0.27077,0.01073,0.99736,0.9885,0.99461,0.87522,0.4878,0.16471,0.01374,0.00073025,0.00073025,0.00073025
44,820.37,0.61632,0.28207,0.01096,0.98021,0.99791,0.99486,0.89174,0.48301,0.16,0.01361,0.000717875,0.000717875,0.000717875
45,838.735,0.60936,0.27557,0.01069,0.99641,0.9765,0.99476,0.86935,0.5034,0.18556,0.01416,0.0007055,0.0007055,0.0007055
46,857.046,0.61967,0.28876,0.01071,0.98862,0.9731,0.99458,0.86434,0.50355,0.18479,0.01443,0.000693125,0.000693125,0.000693125
47,875.559,0.61179,0.27846,0.01045,0.99317,0.97993,0.99464,0.88321,0.47818,0.17506,0.01319,0.00068075,0.00068075,0.00068075
48,893.923,0.60158,0.28012,0.01039,0.9862,0.99413,0.99483,0.88579,0.47301,0.15983,0.01299,0.000668375,0.000668375,0.000668375
49,911.723,0.61177,0.27165,0.01059,0.97921,0.98773,0.99367,0.86457,0.51373,0.19229,0.01504,0.000656,0.000656,0.000656
50,929.808,0.59982,0.27138,0.01035,0.98702,0.98983,0.9948,0.88026,0.47277,0.15735,0.01333,0.000643625,0.000643625,0.000643625
51,947.642,0.58042,0.2602,0.00979,0.98128,0.99755,0.99458,0.88334,0.47128,0.16184,0.01314,0.00063125,0.00063125,0.00063125
52,965.54,0.59764,0.26191,0.01023,0.9863,0.98639,0.9945,0.88591,0.45041,0.15519,0.01278,0.000618875,0.000618875,0.000618875
53,983.576,0.56832,0.24773,0.00974,0.99116,0.9795,0.99431,0.88284,0.46072,0.17363,0.01282,0.0006065,0.0006065,0.0006065
54,1001.68,0.58258,0.27037,0.0101,0.97018,0.98894,0.99345,0.89745,0.44361,0.18397,0.01234,0.000594125,0.000594125,0.000594125
55,1019.74,0.58231,0.2675,0.00995,0.97774,0.98691,0.99366,0.88903,0.50001,0.20521,0.01381,0.00058175,0.00058175,0.00058175
56,1037.73,0.56279,0.25549,0.00973,0.99655,0.99198,0.9949,0.88198,0.47675,0.15586,0.01345,0.000569375,0.000569375,0.000569375
57,1056.05,0.56227,0.24776,0.00977,0.99383,0.98069,0.99464,0.88487,0.45703,0.16109,0.01281,0.000557,0.000557,0.000557
58,1074.16,0.55355,0.25138,0.00959,0.97069,0.97896,0.99424,0.8877,0.44169,0.16488,0.01228,0.000544625,0.000544625,0.000544625
59,1092.7,0.57393,0.25398,0.00984,0.995,0.98801,0.99493,0.885,0.4685,0.15738,0.01341,0.00053225,0.00053225,0.00053225
60,1110.76,0.55395,0.25577,0.00962,0.98856,0.99611,0.99486,0.90587,0.43121,0.13805,0.01179,0.000519875,0.000519875,0.000519875
61,1132.04,0.54547,0.24454,0.00946,0.98865,0.97736,0.99421,0.9028,0.42711,0.15825,0.0121,0.0005075,0.0005075,0.0005075
62,1153.47,0.55375,0.24163,0.00964,0.99637,0.98556,0.9949,0.89478,0.46229,0.15494,0.0129,0.000495125,0.000495125,0.000495125
63,1171.47,0.5376,0.23931,0.00908,0.99401,0.99265,0.99485,0.90684,0.43629,0.1411,0.01185,0.00048275,0.00048275,0.00048275
64,1189.32,0.55032,0.23543,0.00954,0.98812,0.99382,0.99485,0.90426,0.42123,0.13912,0.0115,0.000470375,0.000470375,0.000470375
65,1207.63,0.54534,0.2482,0.00919,0.98923,0.98781,0.99451,0.8994,0.41092,0.1519,0.01125,0.000458,0.000458,0.000458
66,1226.03,0.52023,0.22475,0.00907,0.98954,0.99814,0.9949,0.9044,0.42857,0.14111,0.01194,0.000445625,0.000445625,0.000445625
67,1244.12,0.5254,0.22704,0.00902,0.98508,0.99575,0.9946,0.91319,0.40324,0.14426,0.01109,0.00043325,0.00043325,0.00043325
68,1262.24,0.52098,0.22514,0.00893,0.9843,0.98275,0.99425,0.89739,0.42832,0.16094,0.01173,0.000420875,0.000420875,0.000420875
69,1280.55,0.52987,0.22846,0.00898,0.97945,0.99943,0.99474,0.89915,0.42355,0.14788,0.0117,0.0004085,0.0004085,0.0004085
70,1299,0.51303,0.22664,0.00883,0.99065,0.99102,0.99466,0.90882,0.40742,0.13727,0.0111,0.000396125,0.000396125,0.000396125
71,1317.63,0.51697,0.22232,0.00881,0.99189,0.99426,0.995,0.90382,0.39873,0.13558,0.01079,0.00038375,0.00038375,0.00038375
72,1336.01,0.50829,0.23743,0.00868,0.99432,0.99132,0.99495,0.90466,0.4103,0.14144,0.01129,0.000371375,0.000371375,0.000371375
73,1354.33,0.5185,0.23647,0.00873,0.9959,0.9829,0.99463,0.90423,0.40894,0.13782,0.01132,0.000359,0.000359,0.000359
74,1372.07,0.51182,0.2231,0.0087,0.99629,0.99339,0.995,0.89945,0.41197,0.13606,0.01141,0.000346625,0.000346625,0.000346625
75,1390.48,0.50998,0.2272,0.00855,0.99731,0.98739,0.99483,0.90619,0.40318,0.14163,0.01092,0.00033425,0.00033425,0.00033425
