image_name,group,n_conservees_sans_filtrage,n_valides_conservees_sans_filtrage,n_conservees_seuil_conf_min,n_valides_conservees_seuil_conf_min,n_conservees_rf_related,n_valides_conservees_rf_related
GJ.2507,diptera,26,11,6,5,10,10
GJ.2508,diptera,26,10,11,8,10,8
GJ.2509,diptera,26,9,8,6,11,9
GJ.2510,diptera,26,14,10,10,10,10
GJ.2511,diptera,26,11,11,8,11,10
GJ.2512,diptera,26,12,10,8,10,10
GJ.2513,diptera,26,11,12,10,11,10
GJ.2514,diptera,26,10,12,10,10,8
GJ.2515,diptera,26,13,12,11,11,11
GJ.2516,diptera,26,10,11,8,10,9
GJ.2517,diptera,26,15,11,10,11,11
GJ.2518,diptera,26,14,12,12,12,12
GJ.2519,diptera,26,13,11,10,11,11
GJ.2520,diptera,26,12,10,8,12,10
GJ.2521,diptera,26,13,12,11,9,9
GJ.2522,diptera,26,10,10,8,12,10
GJ.2523,diptera,26,13,11,10,13,13
GJ.2531,diptera,26,8,9,7,8,8
GJ.2541,diptera,26,12,12,10,11,11
GJ.2542,diptera,26,11,11,9,8,8
GJ.2543,diptera,26,12,11,9,9,9
GJ.2544,diptera,26,11,13,10,11,10
GJ.2546,diptera,26,10,13,9,10,9
GJ.2567,diptera,26,8,10,7,8,8
GJ.2568,diptera,26,13,12,11,8,8
GJ.2570,diptera,26,10,9,7,10,10
GJ.2571,diptera,26,12,12,10,11,11
GJ.2575,diptera,26,7,9,5,6,4
GJ.2588,diptera,26,12,12,10,12,12
GJ.2590,diptera,26,10,11,8,12,10
GJ.2591,diptera,26,10,10,7,8,7
GJ.2592,diptera,26,12,7,5,7,5
GJ.2593,diptera,26,10,10,8,11,9
GJ.2595,diptera,26,12,10,9,11,10
GJ.2596,diptera,26,10,9,7,9,9
GJ.2597,diptera,26,10,14,10,10,8
GJ.2631,diptera,26,12,6,5,9,9
GJ.2654,diptera,26,10,6,5,10,8
GJ.2661,diptera,26,10,5,3,6,6
GJ.2667,diptera,26,8,11,8,11,8
GJ.2672,diptera,26,10,11,8,13,9
GJ.2686,diptera,26,12,10,8,11,10
GJ.2690,diptera,26,12,10,8,8,8
GJ.2704,diptera,26,10,8,6,11,10
GJ.2705,diptera,26,10,8,6,12,10
GJ.2706,diptera,26,10,7,4,9,7
GJ.2751,diptera,26,12,8,8,9,8
GJ.2753,diptera,26,12,7,7,8,7
GJ.2773,diptera,26,8,8,6,9,7
GJ.2775,diptera,26,9,9,7,9,8
GJ.2776,diptera,26,7,7,5,8,6
GJ.2777,diptera,26,10,8,6,7,7
GJ.2778,diptera,26,10,9,6,9,7
GJ.2805,diptera,26,12,9,8,10,10
GJ.2809,diptera,26,10,10,7,9,9
GJ.2820,diptera,26,12,7,6,8,8
GJ.2831,diptera,26,11,4,4,9,9
GJ.2962,diptera,26,13,14,13,11,11
GJ.3018,diptera,26,9,14,9,12,9
GJ.3019,diptera,26,13,12,10,11,11
GJ.3155,diptera,26,12,12,10,12,12
GJ.3160,diptera,26,12,10,8,11,10
GJ.3195,diptera,26,14,10,10,9,9
GJ.3457,diptera,26,10,11,8,9,8
GJ.394,diptera,26,9,5,5,10,9
GJ.395,diptera,26,12,11,9,9,9
GJ.400,diptera,26,18,13,13,11,11
GJ.5923,diptera,26,10,8,6,8,7
GJ.5926,diptera,26,9,9,5,9,7
GJ.5927,diptera,26,10,9,7,9,9
GJ.5931,diptera,26,12,9,9,10,10
GJ.5932,diptera,26,8,4,4,8,7
GJ.5933,diptera,26,12,10,8,9,9
GJ.5935,diptera,26,13,10,9,10,10
GJ.5936,diptera,26,14,11,11,12,12
GJ.5937,diptera,26,7,9,7,9,7
GJ.5938,diptera,26,8,5,4,6,5
GJ.5939,diptera,26,10,11,8,9,9
GJ.5940,diptera,26,10,9,7,9,9
GJ.5941,diptera,26,9,8,5,8,7
GJ.6045,diptera,26,7,5,3,3,3
GJ.6046,diptera,26,8,9,6,8,5
GJ.6047,diptera,26,8,4,3,8,5
GJ.6048,diptera,26,11,9,6,11,9
GJ.6049,diptera,26,10,7,7,8,8
GJ.6050,diptera,26,11,6,4,7,7
GJ.6051,diptera,26,13,8,7,8,8
GJ.6052,diptera,26,14,10,8,9,9
GJ.6053,diptera,26,12,8,6,8,8
GJ.6054,diptera,26,6,5,1,9,6
GJ.6055,diptera,26,12,9,7,10,10
GJ.6057,diptera,26,8,8,6,8,7
GJ.6058,diptera,26,10,10,7,13,10
GJ.6059,diptera,26,5,5,4,5,3
GJ.6060,diptera,26,8,11,8,9,8
GJ.6061,diptera,26,11,11,9,10,9
GJ.6062,diptera,26,11,10,7,9,6
GJ.6063,diptera,26,10,10,8,8,8
GJ.6064,diptera,26,14,11,11,8,8
GJ.6065,diptera,26,12,9,9,8,8
GJ.6066,diptera,26,14,12,12,12,12
GJ.6067,diptera,26,10,8,3,8,6
GJ.6068,diptera,26,8,5,4,7,6
GJ.6069,diptera,26,12,9,7,8,8
GJ.6070,diptera,26,10,8,4,12,10
GJ.6071,diptera,26,12,9,8,10,9
GJ.6072,diptera,26,11,7,5,8,7
GJ.6073,diptera,26,12,9,7,10,10
GJ.6130,diptera,26,10,8,6,9,7
GJ.6131,diptera,26,13,11,10,10,9
GJ.6132,diptera,26,10,4,4,9,9
GJ.6133,diptera,26,12,10,8,10,9
GJ.6134,diptera,26,10,12,9,13,9
GJ.6135,diptera,26,7,7,5,9,5
GJ.6136,diptera,26,12,9,9,8,8
GJ.6276,diptera,26,12,10,10,10,10
GJ.6284,diptera,26,8,8,6,9,7
GJ.6588,diptera,26,12,14,12,11,10
GJ.6753,diptera,26,8,8,4,10,7
GJ.6754,diptera,26,13,13,12,11,10
GJ.6757,diptera,26,11,12,9,11,9
GJ.6809,diptera,26,12,9,7,11,11
GJ.6812,diptera,26,12,11,9,12,10
GJ.6831,diptera,26,13,11,10,12,12
GJ.6832,diptera,26,18,12,12,10,10
GJ.6851,diptera,26,10,6,5,8,6
GJ.6857,diptera,26,9,6,5,10,7
GJ.6962,diptera,26,8,12,7,11,8
GJ.6963,diptera,26,11,12,9,11,9
GJ.6964,diptera,26,9,9,6,7,6
GJ.6999,diptera,26,14,12,12,12,12
GJ.7000,diptera,26,12,12,10,10,10
GJ.7033,diptera,26,11,12,10,12,11
GJ.7034,diptera,26,13,10,10,12,12
GJ.7508,diptera,26,10,7,6,11,10
GJ.781,diptera,26,11,12,9,12,10
GJ.782,diptera,26,12,12,11,12,10
GJ.783,diptera,26,12,7,7,8,8
GJ.784,diptera,26,11,9,6,12,10
GJ.785,diptera,26,12,11,9,11,11
GJ.786,diptera,26,12,11,7,9,7
GJ.787,diptera,26,10,8,6,11,10
GJ.788,diptera,26,13,10,7,11,8
GJ.789,diptera,26,12,12,10,12,12
GJ.790,diptera,26,14,11,10,8,8
GJ.791,diptera,26,14,13,13,10,10
GJ.908,diptera,26,12,7,7,10,10
GJ.909,diptera,26,14,13,13,12,12
GJ.910,diptera,26,13,12,11,12,12
GJ.911,diptera,26,14,12,12,11,11
GJ.912,diptera,26,13,13,12,11,11
GJ.913,diptera,26,14,14,14,12,12
GJ.914,diptera,26,13,9,8,12,12
GJ.915,diptera,26,13,9,8,13,13
GJ.916,diptera,26,14,12,12,12,12
GJ.917,diptera,26,11,11,8,12,10
GJ.920,diptera,26,12,12,10,12,12
GJ.921,diptera,26,12,14,12,12,10
GJ.922,diptera,26,11,13,11,11,9
GJ.923,diptera,26,12,9,7,10,8
GJ.925,diptera,26,10,10,8,10,9
GJ.926,diptera,26,10,9,7,10,10
GJ.927,diptera,26,11,6,6,9,9
GJ.928,diptera,26,10,9,8,9,9
GJ.929,diptera,26,10,8,7,9,9
GJ.930,diptera,26,10,8,6,9,8
GJ.931,diptera,26,11,10,8,8,8
GJ.932,diptera,26,14,8,6,9,8
GJ.937,diptera,26,13,11,10,12,11
GJ.938,diptera,26,9,12,7,11,9
GJ.939,diptera,26,11,11,8,12,11
GJ.946,diptera,26,10,10,8,8,8
GJ.947,diptera,26,12,7,6,8,7
GJ.951,diptera,26,10,10,7,9,7
GJ.958,diptera,26,9,11,8,9,9
GJ.959,diptera,26,10,9,7,9,9
GJ.960,diptera,26,10,12,10,10,9
GJ.961,diptera,26,8,7,5,10,8
GJ.962,diptera,26,9,7,4,9,7
GJ.963,diptera,26,7,9,6,12,6
GJ.968,diptera,26,10,9,6,11,9
GJ.969,diptera,26,11,11,8,11,9
GJ.972,diptera,26,10,11,8,13,10
GJ.973,diptera,26,12,14,12,11,10
GJ.975,diptera,26,12,10,8,9,9
GJ.976,diptera,26,13,13,12,10,9
GJ.977,diptera,26,10,10,6,12,9
GL.6834,diptera,26,18,22,16,15,15
GM.18863,diptera,26,10,9,8,8,7
GV.12822,diptera,26,18,20,14,15,13
GV.14188,diptera,26,16,12,10,11,11
GV.14203,diptera,26,14,11,8,11,9
GV.14723,diptera,26,11,12,7,10,8
GV.14731,diptera,26,13,12,10,10,10
GV.37456,diptera,26,13,10,9,10,10
GV.37459,diptera,26,18,14,14,11,11
GV.37482,diptera,26,13,14,11,11,10
GV.42902,diptera,26,12,12,10,12,12
GV.42964,diptera,26,10,10,9,9,9
GV.42970,diptera,26,11,12,9,10,10
GV.50738,diptera,26,6,7,6,9,6
GV.54586,diptera,26,6,11,6,7,5
GV.55328,diptera,26,18,23,16,16,15
GV.79386,diptera,26,12,12,9,9,9
GV.8146,diptera,26,9,13,8,12,9
GV.82969,diptera,26,14,19,12,11,10
GV.87095,diptera,26,9,14,9,11,9
GV.9096,diptera,26,12,13,11,10,9
GV.95146,diptera,26,11,9,6,9,8
GV.95151,diptera,26,12,11,9,10,10
GV.95163,diptera,26,16,22,14,17,15
GV.95245,diptera,26,14,21,12,16,14
GV.95257,diptera,26,18,25,17,19,16
HP.1,diptera,26,10,7,4,7,5
HP.10,diptera,26,12,11,9,9,9
HP.11,diptera,26,10,13,7,9,7
HP.114,diptera,26,6,10,4,9,6
HP.12,diptera,26,10,12,9,9,9
HP.13,diptera,26,9,11,3,11,8
HP.14,diptera,26,8,15,6,11,8
HP.15,diptera,26,6,11,6,10,5
HP.16,diptera,26,8,12,6,9,7
HP.17,diptera,26,10,13,8,9,7
HP.18,diptera,26,9,5,4,8,8
HP.19,diptera,26,9,7,6,9,7
HP.2,diptera,26,12,5,4,8,8
HP.205,diptera,26,9,9,6,7,5
HP.206,diptera,26,6,9,5,8,5
HP.207,diptera,26,10,10,7,11,9
HP.21,diptera,26,6,10,5,10,6
HP.217,diptera,26,12,10,8,9,9
HP.218,diptera,26,10,12,8,10,8
HP.219,diptera,26,7,7,5,7,4
HP.22,diptera,26,6,9,3,11,5
HP.220,diptera,26,8,8,4,8,7
HP.221,diptera,26,7,10,5,8,5
HP.222,diptera,26,11,10,8,10,9
HP.223,diptera,26,8,11,8,10,8
HP.224,diptera,26,10,12,7,8,8
HP.225,diptera,26,10,13,8,10,10
HP.226,diptera,26,7,10,4,9,6
HP.227,diptera,26,7,10,5,10,7
HP.228,diptera,26,10,7,6,8,8
HP.229,diptera,26,14,12,10,9,8
HP.23,diptera,26,14,12,12,10,10
HP.230,diptera,26,10,0,0,7,4
HP.231,diptera,26,7,8,4,8,5
HP.232,diptera,26,8,9,6,11,8
HP.235,diptera,26,9,15,6,9,8
HP.237,diptera,26,8,6,5,9,7
HP.238,diptera,26,10,13,10,9,9
HP.24,diptera,26,10,11,9,10,10
HP.25,diptera,26,12,13,12,10,9
HP.27,diptera,26,10,12,7,8,6
HP.275,diptera,26,13,11,7,13,9
HP.277,diptera,26,10,11,9,9,9
HP.278,diptera,26,8,16,5,11,6
HP.279,diptera,26,5,10,5,10,5
HP.28,diptera,26,10,12,8,8,5
HP.280,diptera,26,11,9,8,8,8
HP.29,diptera,26,10,10,7,11,9
HP.30,diptera,26,10,11,8,10,9
HP.303,diptera,26,10,5,4,7,7
HP.305,diptera,26,8,7,5,8,6
HP.306,diptera,26,8,5,4,9,8
HP.307,diptera,26,7,9,3,10,6
HP.309,diptera,26,12,12,10,12,12
HP.31,diptera,26,11,13,10,11,10
HP.310,diptera,26,11,8,7,10,10
HP.313,diptera,26,9,11,8,10,7
HP.314,diptera,26,11,8,7,8,6
HP.315,diptera,26,6,18,4,12,6
HP.316,diptera,26,10,7,4,6,5
Andrena_benoisti_M_001,hymenoptera,26,20,18,14,18,14
Andrena_bicolor_M_001,hymenoptera,26,16,8,8,10,8
Andrena_bicolorata_F_001,hymenoptera,26,12,10,8,10,9
Andrena_biguttata_F_001,hymenoptera,26,14,10,8,9,9
Andrena_biguttata_M_001,hymenoptera,26,11,7,6,7,7
Andrena_binominata_M_001,hymenoptera,26,23,21,20,23,20
Andrena_bisulcata_F_001,hymenoptera,26,13,10,7,9,8
Andrena_bisulcata_M_001,hymenoptera,26,14,8,6,9,7
Andrena_blanda_F_001,hymenoptera,26,13,15,11,9,9
Andrena_blanda_M_001,hymenoptera,26,11,10,5,11,8
Andrena_boyerella_F_001,hymenoptera,26,18,10,8,7,7
Andrena_boyerella_M_001,hymenoptera,26,12,12,7,12,7
Andrena_braunsiana_M_001,hymenoptera,26,13,8,5,9,8
Andrena_brumanensis_F_001,hymenoptera,26,13,15,11,12,12
Andrena_brumanensis_M_001,hymenoptera,26,16,9,9,10,10
Anthidiellum_breviusculum_F_001,hymenoptera,26,7,8,3,10,6
Anthidiellum_breviusculum_M_001,hymenoptera,26,13,3,3,9,8
Anthidiellum_strigatum_F_001,hymenoptera,26,8,2,2,6,6
Anthidiellum_strigatum_M_001,hymenoptera,26,12,12,11,9,9
Anthidiellum_troodicum_F_001,hymenoptera,26,8,3,3,7,7
Anthidiellum_troodicum_M_001,hymenoptera,26,17,11,9,8,8
Anthidium_caspicum_F_001,hymenoptera,26,14,10,7,9,8
Anthidium_caspicum_M_001,hymenoptera,26,18,11,11,14,14
Anthidium_dalmaticum_F_001,hymenoptera,26,23,19,17,16,15
Anthidium_diadema_F_001,hymenoptera,26,11,9,7,10,7
Anthidium_diadema_M_001,hymenoptera,26,12,9,7,9,8
Anthidium_florentinum_F_001,hymenoptera,26,13,13,9,15,9
Anthidium_florentinum_M_001,hymenoptera,26,9,14,8,12,9
Anthidium_loti_F_001,hymenoptera,26,11,6,4,10,7
Anthidium_loti_M_001,hymenoptera,26,13,10,8,12,12
Anthidium_manicatum_F_001,hymenoptera,26,10,13,9,9,7
Anthidium_manicatum_M_001,hymenoptera,26,9,9,7,11,9
Anthidium_melanopygum_F_001,hymenoptera,26,9,4,4,7,7
Anthidium_melanopygum_M_001,hymenoptera,26,16,14,11,10,9
Anthidium_montanum_F_001,hymenoptera,26,8,4,4,6,6
Anthidium_montanum_M_001,hymenoptera,26,12,9,8,9,9
Anthidium_oblongatum_F_001,hymenoptera,26,12,4,4,9,9
Anthidium_punctatum_F_001,hymenoptera,26,6,5,3,7,2
Anthidium_punctatum_M_001,hymenoptera,26,10,11,9,9,8
Anthidium_septemspinosum_F_001,hymenoptera,26,15,6,6,8,8
Anthidium_septemspinosum_M_001,hymenoptera,26,9,3,3,8,8
Anthidium_taeniatum_F_001,hymenoptera,26,7,4,3,8,7
Anthidium_taeniatum_M_001,hymenoptera,26,10,7,7,10,10
Anthidium_undulatum_F_001,hymenoptera,26,10,5,4,11,8
Anthidium_wuestneii_F_001,hymenoptera,26,10,4,3,7,7
Anthidium_wuestneii_M_001,hymenoptera,26,8,4,3,8,7
Ceylalictus_variegatus_F_001,hymenoptera,26,7,6,2,8,6
Ceylalictus_variegatus_M_001,hymenoptera,26,18,7,7,7,7
Ammobates_muticus_F_001,hymenoptera,26,15,19,12,18,11
Ammobates_muticus_M_001,hymenoptera,26,24,19,18,18,17
Ammobates_opacus_F_001,hymenoptera,26,13,11,9,10,10
Ammobates_oraniensis_F_001,hymenoptera,26,13,9,8,8,8
Ammobates_oraniensis_M_001,hymenoptera,26,12,11,7,10,7
Ammobates_punctatus_F_001,hymenoptera,26,11,9,7,9,8
Ammobates_punctatus_M_001,hymenoptera,26,14,9,7,8,7
Ammobates_rufiventris_F_001,hymenoptera,26,12,12,8,11,9
Ammobates_rufiventris_M_001,hymenoptera,26,15,14,12,11,11
Ammobates_sanguineus_M_001,hymenoptera,26,12,11,9,9,9
Ammobates_similis_F_001,hymenoptera,26,13,10,9,11,10
Ammobates_similis_M_001,hymenoptera,26,12,7,6,8,7
Ammobates_verhoeffi_F_001,hymenoptera,26,10,8,4,9,7
Ammobates_verhoeffi_M_001,hymenoptera,26,11,10,9,11,8
Ammobates_vinctus_F_001,hymenoptera,26,10,12,9,8,8
Ammobates_vinctus_M_001,hymenoptera,26,11,13,11,11,9
Ammobatoides_abdominalis_F_001,hymenoptera,26,18,23,18,22,15
Ammobatoides_abdominalis_M_001,hymenoptera,26,12,13,9,11,9
Ammobatoides_scriptus_F_001,hymenoptera,26,14,11,11,11,9
Ammobatoides_scriptus_M_001,hymenoptera,26,10,16,9,10,7
Ancyla_asiatica_F_001,hymenoptera,26,12,11,9,11,8
Ancyla_asiatica_M_001,hymenoptera,26,12,10,9,9,7
Ancyla_cretensis_M_001,hymenoptera,26,7,10,6,9,6
Ancyla_holtzi_F_001,hymenoptera,26,13,11,7,9,8
Ancyla_holtzi_M_001,hymenoptera,26,10,6,5,8,6
Andrena_abbreviata_F_001,hymenoptera,26,9,8,6,9,5
Andrena_aberrans_F_001,hymenoptera,26,15,11,11,12,10
Andrena_aberrans_M_001,hymenoptera,26,12,13,8,9,7
Andrena_abjecta_M_001,hymenoptera,26,9,11,7,15,8
Andrena_abrupta_F_001,hymenoptera,26,15,19,13,20,14
Andrena_abrupta_M_001,hymenoptera,26,18,19,13,21,15
Andrena_acerba_F_001,hymenoptera,26,9,10,6,9,8
Andrena_acerba_M_001,hymenoptera,26,9,6,4,8,5
Andrena_aciculata_F_001,hymenoptera,26,16,19,12,22,15
Andrena_aciculata_M_001,hymenoptera,26,8,11,5,9,7
Andrena_acuta_F_001,hymenoptera,26,10,11,7,10,7
Andrena_acuta_M_001,hymenoptera,26,8,7,5,8,7
Andrena_aegyptiaca_cannabina_F_001,hymenoptera,26,16,17,13,17,11
Andrena_aegyptiaca_cannabina_M_001,hymenoptera,26,17,17,12,16,11
Andrena_aegypticola_F_001,hymenoptera,26,13,11,6,10,7
Andrena_aeneiventris_F_001,hymenoptera,26,17,14,10,10,9
Andrena_aeneiventris_M_001,hymenoptera,26,18,21,16,20,18
Andrena_aerinifrons_F_001,hymenoptera,26,10,9,7,10,8
Andrena_afrensis_F_001,hymenoptera,26,6,6,5,10,6
Andrena_afrensis_M_001,hymenoptera,26,10,0,0,7,4
Andrena_afzeliella_F_001,hymenoptera,26,10,13,8,9,7
Andrena_afzeliella_M_001,hymenoptera,26,16,11,10,10,8
Andrena_agilissima_F_001,hymenoptera,26,8,11,3,10,4
Andrena_agilissima_M_001,hymenoptera,26,7,10,4,11,7
Andrena_albopunctata_F_001,hymenoptera,26,14,16,11,17,13
Chelostoma_aegaeicum_F_001,hymenoptera,26,9,9,7,8,8
Chelostoma_campanularum_M_001,hymenoptera,26,12,12,7,10,7
Chelostoma_comosum_F_001,hymenoptera,26,11,5,5,7,5
Chelostoma_comosum_M_001,hymenoptera,26,11,11,6,9,8
Chelostoma_distinctum_F_001,hymenoptera,26,16,15,12,16,13
Chelostoma_distinctum_M_001,hymenoptera,26,10,13,9,12,10
Chelostoma_edentulum_F_001,hymenoptera,26,11,12,9,10,9
Chelostoma_edentulum_M_001,hymenoptera,26,10,13,6,13,9
Chelostoma_emarginatum_M_001,hymenoptera,26,14,12,9,10,8
Colletes_abeillei_F_001,hymenoptera,26,11,8,6,10,8
Colletes_abeillei_M_001,hymenoptera,26,15,11,10,9,9
Colletes_acutiformis_F_001,hymenoptera,26,8,10,5,10,7
Colletes_acutiformis_M_001,hymenoptera,26,11,8,7,9,7
Colletes_acutus_F_001,hymenoptera,26,10,13,7,13,7
Colletes_acutus_M_001,hymenoptera,26,12,10,7,10,8
Colletes_albomaculatus_F_001,hymenoptera,26,14,7,6,9,8
Colletes_albomaculatus_M_001,hymenoptera,26,14,13,10,8,8
Colletes_anceps_F_001,hymenoptera,26,13,3,3,9,7
Colletes_anceps_M_001,hymenoptera,26,12,9,9,9,8
Colletes_anchusae_F_001,hymenoptera,26,14,11,11,10,10
Colletes_anchusae_M_001,hymenoptera,26,7,10,4,9,6
Afranthidium_carduele_F_001,hymenoptera,26,9,13,8,11,8
Afranthidium_carduele_M_001,hymenoptera,26,8,11,8,10,8
Afranthidium_schulthessii_F_001,hymenoptera,26,10,11,8,9,8
Afranthidium_schulthessii_M_001,hymenoptera,26,7,7,4,9,6
Aglaoapis_tridentata_F_002,hymenoptera,26,10,12,9,9,8
Aglaoapis_tridentata_M_002_grey,hymenoptera,26,10,15,8,10,7
Amegilla_albigena_M_001,hymenoptera,26,8,15,8,9,8
Amegilla_canifrons_F_001,hymenoptera,26,11,14,11,9,7
Amegilla_canifrons_M_001,hymenoptera,26,14,9,6,11,7
Amegilla_fasciata_F_002_grey,hymenoptera,26,8,15,8,9,8
Amegilla_fasciata_M_001,hymenoptera,26,15,23,15,20,13
Amegilla_garrula_M_001,hymenoptera,26,8,15,8,11,8
Amegilla_ochroleuca_F_001,hymenoptera,26,10,14,10,9,7
Amegilla_ochroleuca_M_001,hymenoptera,26,8,12,8,10,8
Amegilla_quadrifasciata_F_001,hymenoptera,26,10,10,6,9,7
Amegilla_quadrifasciata_M_001,hymenoptera,26,8,14,8,11,8
Amegilla_salviae_F_001,hymenoptera,26,11,13,8,8,7
Amegilla_savignyi_F_001,hymenoptera,26,8,12,7,9,8
Amegilla_savignyi_M_001,hymenoptera,26,8,13,8,9,8
Ammobates_armeniacus_F_001,hymenoptera,26,11,9,6,9,8
Ammobates_biastoides_F_001,hymenoptera,26,16,17,13,15,11
Ammobates_biastoides_M_001,hymenoptera,26,14,10,9,8,8
Ammobates_dusmeti_F_001,hymenoptera,26,9,15,9,11,9
Ammobates_mavromoustakisi_F_001,hymenoptera,26,10,10,8,9,7
Ammobates_mavromoustakisi_M_001,hymenoptera,26,12,12,9,9,7
Dasypoda_cingulata_M_001,hymenoptera,26,9,9,7,9,8
Dasypoda_crassicornis_F_001,hymenoptera,26,22,21,19,18,14
Dasypoda_crassicornis_M_001,hymenoptera,26,10,10,8,8,8
Dasypoda_dusmeti_F_001,hymenoptera,26,22,20,16,20,17
Dasypoda_dusmeti_M_001,hymenoptera,26,13,15,9,13,8
Dasypoda_frieseana_F_001,hymenoptera,26,16,18,14,17,14
Dasypoda_frieseana_M_001,hymenoptera,26,14,6,5,9,8
Dasypoda_hirtipes_F_001,hymenoptera,26,19,20,16,16,14
Dasypoda_hirtipes_M_001,hymenoptera,26,12,13,10,11,9
Dasypoda_iberica_F_001,hymenoptera,26,22,23,22,24,20
Dasypoda_iberica_M_001,hymenoptera,26,17,21,13,21,15
Dasypoda_michezi_F_001,hymenoptera,26,15,21,15,19,12
Dasypoda_michezi_M_001,hymenoptera,26,13,21,13,24,13
Dasypoda_morawitzi_F_001,hymenoptera,26,10,12,8,11,8
Dasypoda_morawitzi_M_001,hymenoptera,26,11,9,7,10,8
Dasypoda_morotei_F_001,hymenoptera,26,24,24,22,24,22
Dasypoda_morotei_M_001,hymenoptera,26,12,11,10,9,9
Dasypoda_panzeri_F_001,hymenoptera,26,10,13,8,11,10
Dasypoda_panzeri_M_001,hymenoptera,26,18,22,16,22,14
Dasypoda_pyriformis_F_001,hymenoptera,26,12,11,8,11,9
Dasypoda_pyriformis_M_001,hymenoptera,26,10,10,7,9,7
Dasypoda_pyrotrichia_F_001,hymenoptera,26,10,11,7,11,10
Dasypoda_pyrotrichia_M_001,hymenoptera,26,18,23,16,15,11
Dasypoda_spinigera_F_001,hymenoptera,26,21,20,18,23,19
Dasypoda_spinigera_M_001,hymenoptera,26,14,18,9,16,8
Dasypoda_suripes_F_001,hymenoptera,26,12,10,7,9,5
Dasypoda_suripes_M_001,hymenoptera,26,16,12,12,11,11
Dasypoda_toroki_F_001,hymenoptera,26,14,20,12,24,14
Dasypoda_toroki_M_001,hymenoptera,26,10,7,6,9,8
Dasypoda_visnaga_F_001,hymenoptera,26,22,17,17,19,19
Dasypoda_visnaga_M_001,hymenoptera,26,17,16,14,14,11
Dufourea_alpina_F_001,hymenoptera,26,8,7,6,9,8
Dufourea_alpina_M_001,hymenoptera,26,22,17,16,14,14
Dufourea_cypria_F_001,hymenoptera,26,14,11,9,16,13
Dufourea_cypria_M_001,hymenoptera,26,7,8,5,9,7
Dufourea_gaullei_F_001,hymenoptera,26,14,14,12,11,9
Dufourea_gaullei_M_001,hymenoptera,26,8,12,7,8,7
Dufourea_graeca_F_001,hymenoptera,26,12,8,7,9,9
Dufourea_inermis_F_001,hymenoptera,26,10,7,5,10,7
Dufourea_iris_F_001,hymenoptera,26,10,8,6,13,10
Dufourea_longiglossa_F_001,hymenoptera,26,10,8,7,9,7
Dufourea_longiglossa_M_001,hymenoptera,26,12,13,10,10,10
Dufourea_merceti_M_001,hymenoptera,26,13,14,12,12,11
Dufourea_paradoxa_F_001,hymenoptera,26,11,13,8,10,9
Dufourea_paradoxa_M_001,hymenoptera,26,8,16,7,12,7
Dufourea_similis_F_001,hymenoptera,26,14,12,12,9,9
Dufourea_similis_M_001,hymenoptera,26,10,9,7,9,7
Dufourea_styx_F_001,hymenoptera,26,14,12,9,9,9
Dufourea_styx_m_001,hymenoptera,26,12,14,9,12,9
Dufourea_trautmanni_F_001,hymenoptera,26,16,12,12,11,11
Dufourea_trautmanni_M_001,hymenoptera,26,22,22,18,19,18
Dufourea_wolfi_F_001,hymenoptera,26,8,11,6,10,7
Dufourea_wolfi_M_001,hymenoptera,26,7,7,5,7,6
Halictus_alfkenellus_F_001,hymenoptera,26,21,24,20,22,18
Halictus_alfkenellus_M_001,hymenoptera,26,10,21,8,20,9
Halictus_asperulus_F_001,hymenoptera,26,7,8,6,11,6
Halictus_asperulus_M_001,hymenoptera,26,10,13,5,15,8
Halictus_brunnescens_F_001,hymenoptera,26,17,17,14,15,13
Halictus_brunnescens_M_001,hymenoptera,26,20,16,15,16,13
Halictus_carinthiacus_F_001,hymenoptera,26,17,21,14,22,15
Halictus_carinthiacus_M_001,hymenoptera,26,14,11,8,10,10
Halictus_centaureae_F_001,hymenoptera,26,13,11,9,10,10
Halictus_centaureae_M_001,hymenoptera,26,11,14,9,12,10
Halictus_cochlearitarsis_F_001,hymenoptera,26,22,20,18,19,17
Halictus_cochlearitarsis_M_001,hymenoptera,26,19,16,13,17,13
Halictus_compressus_F_001,hymenoptera,26,24,26,24,23,21
Halictus_compressus_M_001,hymenoptera,26,22,25,21,17,17
Halictus_consobrinus_F_001,hymenoptera,26,15,9,9,9,9
Halictus_consobrinus_M_001,hymenoptera,26,10,13,9,10,10
Halictus_constantinensis_F_001,hymenoptera,26,10,10,7,12,10
Halictus_costantinensis_M_001,hymenoptera,26,13,16,9,18,11
Halictus_crenicornis_F_001,hymenoptera,26,23,25,22,23,20
Halictus_crenicornis_M_001,hymenoptera,26,13,13,10,10,9
Halictus_fatsensis_F_001,hymenoptera,26,16,12,8,11,7
Halictus_fatsensis_M_001,hymenoptera,26,23,18,17,20,18
Macropis_europaea_F_001,hymenoptera,26,18,23,17,21,15
Macropis_europaea_M_001,hymenoptera,26,13,13,9,14,11
Macropis_frivaldszkyi_F_001,hymenoptera,26,12,17,8,14,9
Macropis_frivaldszkyi_M_001,hymenoptera,26,20,14,13,9,9
Macropis_fulvipes_F_001,hymenoptera,26,7,13,6,9,7
Macropis_fulvipes_M_001,hymenoptera,26,7,15,6,12,7
Melitta_aegyptiaca_F_001,hymenoptera,26,14,11,8,9,9
Melitta_aegyptiaca_M_001,hymenoptera,26,14,11,10,12,11
