epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
28,264.436,0.99207,49.8471,0.33185,0.58771,1.24806,0.98924,0.98795,0.99488,0.77222,0.89335,0.77108,0.71976,0.17305,0.84044,38.708,0.26546,0.46523,1.2485,0.0014654,0.0014654,0.0014654
29,273.826,1.01635,51.3444,0.32301,0.59969,1.26878,1,0.99875,0.995,0.75651,0.77878,0.77108,0.64601,0.13086,0.84896,38.9987,0.28271,0.48755,1.25341,0.0014456,0.0014456,0.0014456
30,283.181,0.98798,50.5326,0.31928,0.5886,1.25786,0.99852,1,0.995,0.78081,0.89502,0.78313,0.71694,0.17371,0.84107,39.0426,0.27455,0.47463,1.25431,0.0014258,0.0014258,0.0014258
31,292.579,0.97323,50.0147,0.32132,0.58382,1.23964,0.99885,0.98795,0.99039,0.77493,0.64118,0.55422,0.37545,0.06571,0.84662,40.2509,0.27805,0.49847,1.23183,0.001406,0.001406,0.001406
32,301.933,0.97521,50.2535,0.32451,0.58207,1.24173,0.99738,0.98795,0.99228,0.76087,0.81556,0.71084,0.60201,0.14051,0.86241,38.9411,0.27535,0.4577,1.28438,0.0013862,0.0013862,0.0013862
33,311.328,0.99993,49.2868,0.32255,0.57833,1.2426,0.9983,0.98795,0.985,0.77406,0.91222,0.79518,0.73901,0.1809,0.81127,37.2231,0.2829,0.45961,1.23462,0.0013664,0.0013664,0.0013664
34,320.737,0.94965,48.714,0.32099,0.56825,1.23612,0.99754,0.98795,0.99314,0.77654,0.88611,0.77108,0.7207,0.14614,0.79432,38.2938,0.28036,0.45045,1.24021,0.0013466,0.0013466,0.0013466
35,330.105,0.98663,50.7064,0.32615,0.5841,1.26327,0.99405,0.98795,0.99465,0.77251,0.77811,0.72289,0.64449,0.11778,0.84215,39.7265,0.28376,0.4652,1.26784,0.0013268,0.0013268,0.0013268
36,339.52,0.92554,48.6517,0.31819,0.55798,1.215,0.9989,1,0.995,0.79186,0.81922,0.7098,0.61838,0.15297,0.78998,38.0883,0.27423,0.42491,1.21649,0.001307,0.001307,0.001307
37,348.987,0.90534,48.7042,0.3168,0.5465,1.19751,0.99892,1,0.995,0.8178,0.85159,0.74699,0.68745,0.1606,0.78134,37.8434,0.26975,0.46219,1.19893,0.0012872,0.0012872,0.0012872
